診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,10
PICCCVポートセンター,0,午後前半(12-15時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,10
PICCCVポートセンター,1,午後前半(12-15時),再診,4
PICCCVポートセンター,2,午前(〜12時),再診,5
PICCCVポートセンター,2,午後前半(12-15時),再診,3
PICCCVポートセンター,3,午前(〜12時),再診,8
PICCCVポートセンター,3,午後前半(12-15時),再診,3
PICCCVポートセンター,3,午後後半(15-17時),再診,2
PICCCVポートセンター,4,午前(〜12時),再診,19
PICCCVポートセンター,4,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午後後半(15-17時),再診,3
がんゲノム,0,午前(〜12時),再診,1
がんゲノム,0,午後前半(12-15時),再診,1
がんゲノム,1,午前(〜12時),再診,1
がんゲノム,1,午後前半(12-15時),再診,5
アレルギー科,0,午前(〜12時),再診,36
アレルギー科,0,午前(〜12時),初診,1
アレルギー科,1,午前(〜12時),再診,45
アレルギー科,1,午前(〜12時),初診,1
アレルギー科,2,午前(〜12時),再診,42
アレルギー科,2,午後前半(12-15時),再診,1
アレルギー科,3,午前(〜12時),再診,48
ソーシャルワーカー,0,午前(〜12時),再診,12
ソーシャルワーカー,0,午後前半(12-15時),再診,6
ソーシャルワーカー,0,午後後半(15-17時),再診,4
ソーシャルワーカー,1,午前(〜12時),再診,17
ソーシャルワーカー,1,午後前半(12-15時),再診,4
ソーシャルワーカー,1,午後後半(15-17時),再診,1
ソーシャルワーカー,1,夕方以降(17時〜),再診,1
ソーシャルワーカー,2,午前(〜12時),再診,9
ソーシャルワーカー,2,午後前半(12-15時),再診,4
ソーシャルワーカー,2,午後後半(15-17時),再診,4
ソーシャルワーカー,2,夕方以降(17時〜),再診,1
ソーシャルワーカー,3,午前(〜12時),再診,16
ソーシャルワーカー,3,午後後半(15-17時),再診,2
ソーシャルワーカー,3,夕方以降(17時〜),再診,5
ソーシャルワーカー,4,午前(〜12時),再診,17
ソーシャルワーカー,4,午後前半(12-15時),再診,5
ソーシャルワーカー,4,午後後半(15-17時),再診,3
ソーシャルワーカー,4,夕方以降(17時〜),再診,3
メンタルケア科,0,午前(〜12時),再診,91
メンタルケア科,0,午後前半(12-15時),再診,2
