診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,0,1
PICCCVポートセンター,保留,枠なし予約,4,1
PICCCVポートセンター,未来院,枠なし予約,0,1
PICCCVポートセンター,未来院,枠なし予約,3,1
PICCCVポートセンター,病院到着,枠なし予約,3,1
PICCCVポートセンター,終了,枠なし予約,0,9
PICCCVポートセンター,終了,枠なし予約,1,14
PICCCVポートセンター,終了,枠なし予約,2,8
PICCCVポートセンター,終了,枠なし予約,3,11
PICCCVポートセンター,終了,枠なし予約,4,22
がんゲノム,終了,枠あり予約,0,2
がんゲノム,終了,枠あり予約,1,6
アレルギー科,6,枠あり予約,3,1
アレルギー科,未来院,枠あり予約,0,1
アレルギー科,未来院,枠あり予約,1,2
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,2
アレルギー科,終了,枠あり予約,0,34
アレルギー科,終了,枠あり予約,1,44
アレルギー科,終了,枠あり予約,2,39
アレルギー科,終了,枠あり予約,3,41
アレルギー科,終了,枠なし予約,0,2
アレルギー科,終了,枠なし予約,2,3
アレルギー科,終了,枠なし予約,3,4
ソーシャルワーカー,保留,枠あり予約,1,1
ソーシャルワーカー,保留,枠あり予約,4,1
ソーシャルワーカー,未来院,枠あり予約,0,6
ソーシャルワーカー,未来院,枠あり予約,1,7
ソーシャルワーカー,未来院,枠あり予約,2,3
ソーシャルワーカー,未来院,枠あり予約,3,3
ソーシャルワーカー,未来院,枠あり予約,4,6
ソーシャルワーカー,未来院,枠なし予約,1,2
ソーシャルワーカー,未来院,枠なし予約,3,4
ソーシャルワーカー,未来院,枠なし予約,4,1
ソーシャルワーカー,病院到着,枠あり予約,0,1
ソーシャルワーカー,病院到着,枠あり予約,2,2
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,0,1
ソーシャルワーカー,病院到着,枠なし予約,1,1
ソーシャルワーカー,病院到着,枠なし予約,4,2
ソーシャルワーカー,終了,枠あり予約,0,13
ソーシャルワーカー,終了,枠あり予約,1,12
ソーシャルワーカー,終了,枠あり予約,2,13
ソーシャルワーカー,終了,枠あり予約,3,11
ソーシャルワーカー,終了,枠あり予約,4,15
ソーシャルワーカー,終了,枠なし予約,0,1
ソーシャルワーカー,終了,枠なし予約,3,5
ソーシャルワーカー,終了,枠なし予約,4,2
メンタルケア科,6,枠あり予約,1,1
メンタルケア科,未来院,枠あり予約,0,5
メンタルケア科,未来院,枠あり予約,1,5
メンタルケア科,未来院,枠あり予約,2,13
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠あり予約,4,2
メンタルケア科,未来院,枠なし予約,0,3
メンタルケア科,未来院,枠なし予約,1,3
メンタルケア科,未来院,枠なし予約,2,3
メンタルケア科,未来院,枠なし予約,3,4
メンタルケア科,未来院,枠なし予約,4,1
メンタルケア科,病院到着,枠あり予約,3,1
