診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,19
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,11
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,11
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,10
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,7
がんゲノム,DR_ON001,0,再診,紹介状無し,5
がんゲノム,DR_ON001,1,再診,紹介状無し,7
アレルギー科,DR_AL001,2,再診,紹介状無し,35
アレルギー科,DR_AL002,3,再診,紹介状無し,47
アレルギー科,DR_AL002,3,初診,紹介状あり,1
アレルギー科,DR_AL002,3,初診,紹介状無し,1
アレルギー科,DR_AL003,1,再診,紹介状無し,1
アレルギー科,DR_AL004,1,再診,紹介状無し,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,67
アレルギー科,DR_RS2005,0,再診,紹介状無し,37
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,30
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,35
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,30
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,20
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,17
ソーシャルワーカー,DR_XX031,1,再診,紹介状無し,1
ソーシャルワーカー,DR_XX031,3,再診,紹介状無し,1
ソーシャルワーカー,DR_XX034,3,再診,紹介状無し,2
メンタルケア科,DR_MN001,0,再診,紹介状無し,9
メンタルケア科,DR_MN001,2,再診,紹介状無し,123
メンタルケア科,DR_MN002,0,再診,紹介状無し,23
メンタルケア科,DR_MN002,1,再診,紹介状無し,22
メンタルケア科,DR_MN002,2,再診,紹介状無し,17
メンタルケア科,DR_MN002,3,再診,紹介状無し,15
メンタルケア科,DR_MN002,4,再診,紹介状無し,9
メンタルケア科,DR_MN004,0,再診,紹介状無し,84
メンタルケア科,DR_MN004,3,再診,紹介状無し,7
メンタルケア科,DR_MN005,2,再診,紹介状無し,6
メンタルケア科,DR_MN005,3,再診,紹介状無し,4
メンタルケア科,DR_MN006,4,再診,紹介状無し,2
メンタルケア科,DR_MN007,3,再診,紹介状無し,1
メンタルケア科,DR_MN008,0,再診,紹介状無し,1
メンタルケア科,DR_MN008,1,再診,紹介状無し,1
メンタルケア科,DR_MN008,3,再診,紹介状無し,2
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,40
メンタルケア科,DR_MN009,4,再診,紹介状無し,6
メンタルケア科,DR_MN010,3,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH001,2,再診,紹介状無し,35
リウマチ膠原病内科,DR_RH002,2,再診,紹介状無し,48
リウマチ膠原病内科,DR_RH002,2,初診,紹介状あり,3
リウマチ膠原病内科,DR_RH003,1,再診,紹介状無し,131
リウマチ膠原病内科,DR_RH003,1,初診,紹介状あり,5
リウマチ膠原病内科,DR_RH003,1,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH003,4,再診,紹介状無し,70
リウマチ膠原病内科,DR_RH004,0,再診,紹介状無し,64
リウマチ膠原病内科,DR_RH004,3,再診,紹介状無し,46
リウマチ膠原病内科,DR_RH004,3,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH005,0,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH005,1,再診,紹介状無し,21
リウマチ膠原病内科,DR_RH005,2,再診,紹介状無し,16
リウマチ膠原病内科,DR_RH005,3,再診,紹介状無し,3
リウマチ膠原病内科,DR_RH005,4,再診,紹介状無し,9
リウマチ膠原病内科,DR_RH006,0,再診,紹介状無し,72
リウマチ膠原病内科,DR_RH006,0,初診,紹介状あり,5
リウマチ膠原病内科,DR_RH006,3,再診,紹介状無し,68
リウマチ膠原病内科,DR_RH006,4,再診,紹介状無し,52
リウマチ膠原病内科,DR_RH007,0,再診,紹介状無し,17
リウマチ膠原病内科,DR_RH007,1,再診,紹介状無し,15
リウマチ膠原病内科,DR_RH007,2,再診,紹介状無し,9
リウマチ膠原病内科,DR_RH007,3,再診,紹介状あり,1
リウマチ膠原病内科,DR_RH007,3,再診,紹介状無し,3
リウマチ膠原病内科,DR_RH007,4,再診,紹介状無し,3
リウマチ膠原病内科,DR_RH008,3,再診,紹介状無し,11
リウマチ膠原病内科,DR_RH008,3,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH009,2,再診,紹介状無し,73
リウマチ膠原病内科,DR_RH009,2,初診,紹介状あり,3
リウマチ膠原病内科,DR_RH009,3,再診,紹介状無し,102
リウマチ膠原病内科,DR_RH009,3,初診,紹介状あり,10
リウマチ膠原病内科,DR_RH009,4,再診,紹介状無し,79
リウマチ膠原病内科,DR_RH009,4,初診,紹介状あり,4
リウマチ膠原病内科,DR_RH009,4,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH010,1,再診,紹介状無し,106
リウマチ膠原病内科,DR_RH010,2,再診,紹介状無し,40
リウマチ膠原病内科,DR_RH011,0,再診,紹介状無し,14
リウマチ膠原病内科,DR_RH011,4,再診,紹介状無し,6
リウマチ膠原病内科,DR_RH012,0,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH012,1,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH012,2,再診,紹介状無し,3
リウマチ膠原病内科,DR_RH012,3,再診,紹介状無し,2
リウマチ膠原病内科,DR_RH012,4,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH013,0,再診,紹介状無し,10
一般消化器外科,DR_BR005,0,再診,紹介状無し,23
一般消化器外科,DR_BR005,0,初診,紹介状あり,2
一般消化器外科,DR_BR005,1,再診,紹介状無し,13
一般消化器外科,DR_BR005,2,再診,紹介状無し,15
一般消化器外科,DR_BR005,3,再診,紹介状無し,4
一般消化器外科,DR_BR005,4,再診,紹介状無し,7
一般消化器外科,DR_GS001,2,再診,紹介状無し,159
一般消化器外科,DR_GS001,2,初診,紹介状あり,7
一般消化器外科,DR_GS001,2,初診,紹介状無し,1
一般消化器外科,DR_GS002,1,再診,紹介状無し,112
一般消化器外科,DR_GS002,1,初診,紹介状あり,3
一般消化器外科,DR_GS003,0,再診,紹介状無し,86
一般消化器外科,DR_GS003,0,初診,紹介状あり,7
一般消化器外科,DR_GS003,3,再診,紹介状無し,152
一般消化器外科,DR_GS003,3,初診,紹介状あり,10
一般消化器外科,DR_GS003,3,初診,紹介状無し,3
一般消化器外科,DR_GS004,1,再診,紹介状無し,92
一般消化器外科,DR_GS004,1,初診,紹介状あり,3
一般消化器外科,DR_GS005,3,再診,紹介状無し,55
一般消化器外科,DR_GS005,3,初診,紹介状あり,4
一般消化器外科,DR_GS005,3,初診,紹介状無し,1
一般消化器外科,DR_GS006,3,再診,紹介状無し,71
一般消化器外科,DR_GS006,3,初診,紹介状あり,1
一般消化器外科,DR_GS007,0,再診,紹介状無し,14
一般消化器外科,DR_GS007,1,再診,紹介状無し,13
一般消化器外科,DR_GS007,2,再診,紹介状無し,12
一般消化器外科,DR_GS007,3,再診,紹介状無し,8
一般消化器外科,DR_GS007,4,再診,紹介状無し,6
一般消化器外科,DR_GS008,2,再診,紹介状無し,37
一般消化器外科,DR_GS008,2,初診,紹介状あり,3
一般消化器外科,DR_GS009,0,再診,紹介状無し,54
一般消化器外科,DR_GS009,0,初診,紹介状あり,1
一般消化器外科,DR_GS009,0,初診,紹介状無し,2
