診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,8
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,5
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,13
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,16
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,14
がんゲノム,DR_ON001,0,再診,紹介状無し,7
がんゲノム,DR_ON001,1,再診,紹介状無し,9
がんゲノム,DR_XX039,0,再診,紹介状無し,1
アレルギー科,DR_AL001,2,再診,紹介状無し,21
アレルギー科,DR_AL002,3,再診,紹介状無し,52
アレルギー科,DR_AL002,3,初診,紹介状あり,1
アレルギー科,DR_AL003,2,再診,紹介状無し,1
アレルギー科,DR_AL003,3,再診,紹介状無し,3
アレルギー科,DR_AL004,1,再診,紹介状無し,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,29
アレルギー科,DR_RS2003,1,初診,紹介状あり,1
アレルギー科,DR_RS2005,0,再診,紹介状無し,34
アレルギー科,DR_RS2005,0,初診,紹介状あり,1
アレルギー科,DR_RS2005,0,初診,紹介状無し,1
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,16
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,17
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,28
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,34
ソーシャルワーカー,DR_XX030,1,再診,紹介状無し,1
ソーシャルワーカー,DR_XX031,1,再診,紹介状無し,1
ソーシャルワーカー,DR_XX031,4,再診,紹介状無し,1
メンタルケア科,DR_MN001,0,再診,紹介状無し,8
メンタルケア科,DR_MN001,2,再診,紹介状無し,115
メンタルケア科,DR_MN002,0,再診,紹介状無し,17
メンタルケア科,DR_MN002,1,再診,紹介状無し,9
メンタルケア科,DR_MN002,1,初診,紹介状あり,1
メンタルケア科,DR_MN002,2,再診,紹介状無し,16
メンタルケア科,DR_MN002,3,再診,紹介状無し,14
メンタルケア科,DR_MN002,4,再診,紹介状無し,17
メンタルケア科,DR_MN004,0,再診,紹介状無し,63
メンタルケア科,DR_MN004,3,再診,紹介状無し,5
メンタルケア科,DR_MN005,2,再診,紹介状無し,7
メンタルケア科,DR_MN006,1,再診,紹介状無し,2
メンタルケア科,DR_MN006,2,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,1
メンタルケア科,DR_MN008,2,再診,紹介状無し,1
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,30
メンタルケア科,DR_MN009,4,再診,紹介状無し,8
メンタルケア科,DR_MN010,3,再診,紹介状無し,1
メンタルケア科,DR_MN011,0,再診,紹介状無し,1
メンタルケア科,DR_MN011,2,再診,紹介状無し,1
メンタルケア科,DR_MN011,3,再診,紹介状無し,1
メンタルケア科,DR_MN011,4,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH001,2,再診,紹介状無し,37
リウマチ膠原病内科,DR_RH002,2,再診,紹介状無し,16
リウマチ膠原病内科,DR_RH002,2,初診,紹介状あり,4
リウマチ膠原病内科,DR_RH003,1,再診,紹介状無し,64
リウマチ膠原病内科,DR_RH003,1,初診,紹介状あり,3
リウマチ膠原病内科,DR_RH003,4,再診,紹介状無し,79
リウマチ膠原病内科,DR_RH004,0,再診,紹介状無し,50
リウマチ膠原病内科,DR_RH004,3,再診,紹介状無し,79
リウマチ膠原病内科,DR_RH005,0,再診,紹介状無し,2
リウマチ膠原病内科,DR_RH005,1,再診,紹介状無し,15
リウマチ膠原病内科,DR_RH005,2,再診,紹介状無し,8
リウマチ膠原病内科,DR_RH005,3,再診,紹介状無し,2
リウマチ膠原病内科,DR_RH005,4,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH006,0,再診,紹介状無し,48
リウマチ膠原病内科,DR_RH006,0,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH006,3,再診,紹介状無し,72
リウマチ膠原病内科,DR_RH006,4,再診,紹介状無し,57
リウマチ膠原病内科,DR_RH007,0,再診,紹介状無し,3
リウマチ膠原病内科,DR_RH007,1,再診,紹介状無し,11
リウマチ膠原病内科,DR_RH007,2,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH007,3,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH007,4,再診,紹介状あり,1
リウマチ膠原病内科,DR_RH007,4,再診,紹介状無し,10
リウマチ膠原病内科,DR_RH008,3,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH009,2,再診,紹介状無し,74
リウマチ膠原病内科,DR_RH009,2,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH009,2,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH009,3,再診,紹介状無し,110
リウマチ膠原病内科,DR_RH009,3,初診,紹介状あり,13
リウマチ膠原病内科,DR_RH009,4,再診,紹介状無し,104
リウマチ膠原病内科,DR_RH009,4,初診,紹介状あり,11
リウマチ膠原病内科,DR_RH010,1,再診,紹介状無し,113
リウマチ膠原病内科,DR_RH010,2,再診,紹介状無し,45
リウマチ膠原病内科,DR_RH011,0,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH011,4,再診,紹介状無し,5
リウマチ膠原病内科,DR_RH012,0,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH013,0,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH016,6,再診,紹介状無し,1
リウマチ膠原病内科,,4,再診,紹介状無し,1
一般消化器外科,DR_BR005,0,再診,紹介状無し,4
一般消化器外科,DR_BR005,1,再診,紹介状無し,7
一般消化器外科,DR_BR005,2,再診,紹介状無し,19
一般消化器外科,DR_BR005,3,再診,紹介状無し,2
一般消化器外科,DR_BR005,4,再診,紹介状無し,17
一般消化器外科,DR_GS001,2,再診,紹介状無し,165
一般消化器外科,DR_GS001,2,初診,紹介状あり,12
一般消化器外科,DR_GS001,2,初診,紹介状無し,1
一般消化器外科,DR_GS002,1,再診,紹介状無し,80
一般消化器外科,DR_GS002,1,初診,紹介状あり,1
一般消化器外科,DR_GS003,0,再診,紹介状無し,69
一般消化器外科,DR_GS003,0,初診,紹介状あり,6
一般消化器外科,DR_GS003,3,再診,紹介状無し,163
一般消化器外科,DR_GS003,3,初診,紹介状あり,4
一般消化器外科,DR_GS005,3,再診,紹介状無し,72
一般消化器外科,DR_GS005,3,初診,紹介状あり,5
一般消化器外科,DR_GS006,3,再診,紹介状無し,106
一般消化器外科,DR_GS006,3,初診,紹介状あり,4
一般消化器外科,DR_GS007,0,再診,紹介状無し,10
一般消化器外科,DR_GS007,1,再診,紹介状無し,8
一般消化器外科,DR_GS007,2,再診,紹介状無し,5
一般消化器外科,DR_GS007,3,再診,紹介状無し,13
一般消化器外科,DR_GS007,4,再診,紹介状無し,17
一般消化器外科,DR_GS008,2,再診,紹介状無し,46
一般消化器外科,DR_GS008,2,初診,紹介状あり,3
一般消化器外科,DR_GS009,0,再診,紹介状無し,28
一般消化器外科,DR_GS009,0,初診,紹介状あり,1
一般消化器外科,DR_GS009,0,初診,紹介状無し,1
一般消化器外科,DR_GS009,4,再診,紹介状無し,20
一般消化器外科,DR_GS009,4,初診,紹介状あり,3
一般消化器外科,DR_GS011,0,再診,紹介状無し,9
一般消化器外科,DR_GS011,1,再診,紹介状無し,8
一般消化器外科,DR_GS011,2,再診,紹介状無し,4
一般消化器外科,DR_GS011,3,再診,紹介状無し,17
一般消化器外科,DR_GS011,3,初診,紹介状あり,1
一般消化器外科,DR_GS011,4,再診,紹介状無し,11
一般消化器外科,DR_GS012,3,再診,紹介状無し,7
一般消化器外科,DR_GS013,2,再診,紹介状無し,1
一般消化器外科,DR_GS013,3,再診,紹介状無し,3
一般消化器外科,DR_GS014,0,初診,紹介状あり,1
一般消化器外科,DR_GS014,0,初診,紹介状無し,1
一般消化器外科,DR_GS014,1,初診,紹介状無し,1
一般消化器外科,DR_GS014,2,再診,紹介状無し,2
一般消化器外科,DR_GS014,2,初診,紹介状あり,1
一般消化器外科,DR_GS014,3,再診,紹介状あり,1
一般消化器外科,DR_GS014,3,初診,紹介状あり,1
一般消化器外科,DR_GS014,4,再診,紹介状無し,4
一般消化器外科,DR_GS014,4,初診,紹介状あり,1
一般消化器外科,DR_GS014,5,再診,紹介状無し,4
一般消化器外科,DR_GS014,5,初診,紹介状無し,1
一般消化器外科,DR_GS015,0,再診,紹介状無し,34
一般消化器外科,DR_GS015,0,初診,紹介状あり,2
一般消化器外科,DR_GS017,4,再診,紹介状無し,5
一般消化器外科,DR_GS018,1,再診,紹介状無し,79
一般消化器外科,DR_GS018,1,初診,紹介状あり,1
一般消化器外科,DR_GS019,4,再診,紹介状無し,32
一般消化器外科,DR_GS019,4,初診,紹介状あり,4
一般消化器外科,DR_GS019,4,初診,紹介状無し,2
中央処置室,DR_XX002,0,再診,紹介状無し,25
中央処置室,DR_XX002,1,再診,紹介状無し,26
中央処置室,DR_XX002,2,再診,紹介状無し,21
中央処置室,DR_XX002,3,再診,紹介状無し,48
中央処置室,DR_XX002,4,再診,紹介状無し,42
乳腺外科,DR_BR005,1,再診,紹介状無し,1
乳腺外科,DR_BR005,3,再診,紹介状無し,1
乳腺外科,DR_BR005,4,再診,紹介状無し,1
乳腺外科,DR_BR006,0,再診,紹介状無し,232
乳腺外科,DR_BR006,0,初診,紹介状あり,4
乳腺外科,DR_BR006,0,初診,紹介状無し,1
乳腺外科,DR_BR006,2,再診,紹介状無し,318
乳腺外科,DR_BR006,2,初診,紹介状あり,15
乳腺外科,DR_BR006,4,再診,紹介状無し,375
乳腺外科,DR_BR006,4,初診,紹介状あり,15
乳腺外科,DR_BR006,4,初診,紹介状無し,2
乳腺外科,DR_BR008,1,再診,紹介状無し,75
乳腺外科,DR_BR008,1,初診,紹介状あり,7
乳腺外科,DR_BR009,1,再診,紹介状無し,2
乳腺外科,DR_BR009,2,再診,紹介状無し,1
乳腺外科,DR_BR009,4,再診,紹介状無し,3
