診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,0,1
PICCCVポートセンター,保留,枠なし予約,2,1
PICCCVポートセンター,保留,枠なし予約,3,3
PICCCVポートセンター,未来院,枠なし予約,2,1
PICCCVポートセンター,病院到着,枠なし予約,2,1
PICCCVポートセンター,終了,枠なし予約,0,7
PICCCVポートセンター,終了,枠なし予約,1,5
PICCCVポートセンター,終了,枠なし予約,2,10
PICCCVポートセンター,終了,枠なし予約,3,13
PICCCVポートセンター,終了,枠なし予約,4,14
がんゲノム,未来院,枠あり予約,1,1
がんゲノム,病院到着,枠あり予約,0,1
がんゲノム,終了,枠あり予約,0,7
がんゲノム,終了,枠あり予約,1,8
アレルギー科,保留,枠なし予約,3,1
アレルギー科,未来院,枠あり予約,0,2
アレルギー科,未来院,枠あり予約,1,3
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,3
アレルギー科,終了,枠あり予約,0,28
アレルギー科,終了,枠あり予約,1,28
アレルギー科,終了,枠あり予約,2,20
アレルギー科,終了,枠あり予約,3,46
アレルギー科,終了,枠なし予約,0,5
アレルギー科,終了,枠なし予約,2,1
アレルギー科,終了,枠なし予約,3,6
アレルギー科,終了,,0,1
ソーシャルワーカー,保留,枠あり予約,0,1
ソーシャルワーカー,保留,枠あり予約,3,1
ソーシャルワーカー,未来院,枠あり予約,0,1
ソーシャルワーカー,未来院,枠あり予約,1,2
ソーシャルワーカー,未来院,枠あり予約,2,2
ソーシャルワーカー,未来院,枠あり予約,3,3
ソーシャルワーカー,未来院,枠あり予約,4,7
ソーシャルワーカー,未来院,枠なし予約,1,1
ソーシャルワーカー,未来院,枠なし予約,2,1
ソーシャルワーカー,未来院,枠なし予約,3,3
ソーシャルワーカー,未来院,枠なし予約,4,3
ソーシャルワーカー,病院到着,枠あり予約,1,1
ソーシャルワーカー,病院到着,枠あり予約,2,1
ソーシャルワーカー,病院到着,枠あり予約,3,1
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,0,2
ソーシャルワーカー,病院到着,枠なし予約,1,1
ソーシャルワーカー,病院到着,枠なし予約,2,2
ソーシャルワーカー,病院到着,枠なし予約,4,5
ソーシャルワーカー,終了,枠あり予約,0,10
ソーシャルワーカー,終了,枠あり予約,1,13
ソーシャルワーカー,終了,枠あり予約,2,21
ソーシャルワーカー,終了,枠あり予約,3,12
ソーシャルワーカー,終了,枠あり予約,4,18
ソーシャルワーカー,終了,枠なし予約,0,2
ソーシャルワーカー,終了,枠なし予約,1,1
ソーシャルワーカー,終了,枠なし予約,2,1
ソーシャルワーカー,終了,枠なし予約,3,5
ソーシャルワーカー,終了,枠なし予約,4,1
メンタルケア科,保留,枠なし予約,2,1
メンタルケア科,未来院,枠あり予約,0,3
メンタルケア科,未来院,枠あり予約,1,3
メンタルケア科,未来院,枠あり予約,2,11
メンタルケア科,未来院,枠あり予約,4,3
メンタルケア科,未来院,枠なし予約,0,1
メンタルケア科,未来院,枠なし予約,1,1
メンタルケア科,未来院,枠なし予約,2,2
メンタルケア科,病院到着,枠なし予約,0,1
メンタルケア科,病院到着,枠なし予約,2,3
メンタルケア科,病院到着,枠なし予約,3,2
メンタルケア科,終了,枠あり予約,0,62
メンタルケア科,終了,枠あり予約,1,30
メンタルケア科,終了,枠あり予約,2,114
メンタルケア科,終了,枠あり予約,3,7
メンタルケア科,終了,枠あり予約,4,7
メンタルケア科,終了,枠なし予約,0,22
メンタルケア科,終了,枠なし予約,1,8
メンタルケア科,終了,枠なし予約,2,10
メンタルケア科,終了,枠なし予約,3,13
メンタルケア科,終了,枠なし予約,4,17
リウマチ膠原病内科,保留,枠あり予約,1,1
リウマチ膠原病内科,未来院,枠あり予約,0,4
リウマチ膠原病内科,未来院,枠あり予約,1,6
リウマチ膠原病内科,未来院,枠あり予約,2,7
リウマチ膠原病内科,未来院,枠あり予約,3,9
リウマチ膠原病内科,未来院,枠あり予約,4,6
リウマチ膠原病内科,未来院,枠あり予約,6,1
リウマチ膠原病内科,未来院,枠なし予約,2,1
リウマチ膠原病内科,未来院,枠なし予約,4,1
リウマチ膠原病内科,病院到着,枠あり予約,4,2
リウマチ膠原病内科,病院到着,枠なし予約,0,1
リウマチ膠原病内科,病院到着,枠なし予約,4,1
リウマチ膠原病内科,終了,枠あり予約,0,110
リウマチ膠原病内科,終了,枠あり予約,1,171
リウマチ膠原病内科,終了,枠あり予約,2,172
リウマチ膠原病内科,終了,枠あり予約,3,268
リウマチ膠原病内科,終了,枠あり予約,4,240
リウマチ膠原病内科,終了,枠なし予約,0,9
リウマチ膠原病内科,終了,枠なし予約,1,28
リウマチ膠原病内科,終了,枠なし予約,2,17
リウマチ膠原病内科,終了,枠なし予約,3,18
リウマチ膠原病内科,終了,枠なし予約,4,30
リウマチ膠原病内科,終了,,2,1
