診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,2,1
PICCCVポートセンター,保留,枠なし予約,3,1
PICCCVポートセンター,保留,枠なし予約,4,2
PICCCVポートセンター,未来院,枠なし予約,0,2
PICCCVポートセンター,病院到着,枠なし予約,0,1
PICCCVポートセンター,病院到着,枠なし予約,3,1
PICCCVポートセンター,終了,枠なし予約,0,10
PICCCVポートセンター,終了,枠なし予約,1,14
PICCCVポートセンター,終了,枠なし予約,2,15
PICCCVポートセンター,終了,枠なし予約,3,3
PICCCVポートセンター,終了,枠なし予約,4,10
がんゲノム,終了,枠あり予約,0,5
がんゲノム,終了,枠あり予約,1,9
アレルギー科,6,枠あり予約,3,1
アレルギー科,未来院,枠あり予約,0,3
アレルギー科,未来院,枠あり予約,1,2
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,1
アレルギー科,終了,枠あり予約,0,31
アレルギー科,終了,枠あり予約,1,44
アレルギー科,終了,枠あり予約,2,33
アレルギー科,終了,枠あり予約,3,43
アレルギー科,終了,枠なし予約,0,1
アレルギー科,終了,枠なし予約,2,1
アレルギー科,終了,枠なし予約,3,1
ソーシャルワーカー,保留,枠あり予約,0,1
ソーシャルワーカー,未来院,枠あり予約,0,5
ソーシャルワーカー,未来院,枠あり予約,1,3
ソーシャルワーカー,未来院,枠あり予約,2,4
ソーシャルワーカー,未来院,枠あり予約,3,4
ソーシャルワーカー,未来院,枠あり予約,4,5
ソーシャルワーカー,未来院,枠なし予約,0,2
ソーシャルワーカー,未来院,枠なし予約,1,3
ソーシャルワーカー,病院到着,枠あり予約,2,1
ソーシャルワーカー,病院到着,枠なし予約,0,1
ソーシャルワーカー,病院到着,枠なし予約,2,3
ソーシャルワーカー,病院到着,枠なし予約,3,2
ソーシャルワーカー,終了,枠あり予約,0,15
ソーシャルワーカー,終了,枠あり予約,1,17
ソーシャルワーカー,終了,枠あり予約,2,13
ソーシャルワーカー,終了,枠あり予約,3,12
ソーシャルワーカー,終了,枠あり予約,4,16
ソーシャルワーカー,終了,枠なし予約,0,4
ソーシャルワーカー,終了,枠なし予約,1,2
ソーシャルワーカー,終了,枠なし予約,3,1
ソーシャルワーカー,終了,枠なし予約,4,2
メンタルケア科,6,枠あり予約,0,2
メンタルケア科,6,枠あり予約,1,2
メンタルケア科,未来院,枠あり予約,0,4
メンタルケア科,未来院,枠あり予約,1,1
メンタルケア科,未来院,枠あり予約,2,4
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠なし予約,0,2
メンタルケア科,未来院,枠なし予約,2,3
メンタルケア科,未来院,枠なし予約,4,1
メンタルケア科,病院到着,枠あり予約,0,2
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠なし予約,0,1
メンタルケア科,病院到着,枠なし予約,2,2
メンタルケア科,病院到着,枠なし予約,4,1
メンタルケア科,終了,枠あり予約,0,73
メンタルケア科,終了,枠あり予約,1,42
メンタルケア科,終了,枠あり予約,2,114
メンタルケア科,終了,枠あり予約,3,5
メンタルケア科,終了,枠あり予約,4,5
メンタルケア科,終了,枠なし予約,0,21
メンタルケア科,終了,枠なし予約,1,15
メンタルケア科,終了,枠なし予約,2,17
メンタルケア科,終了,枠なし予約,3,9
メンタルケア科,終了,枠なし予約,4,8
メンタルケア科,診察中,枠あり予約,0,1
メンタルケア科,診察中,枠なし予約,0,1
メンタルケア科,診察中,枠なし予約,4,1
リウマチ膠原病内科,6,枠あり予約,1,2
リウマチ膠原病内科,保留,枠あり予約,1,1
リウマチ膠原病内科,未来院,枠あり予約,0,2
