診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,11
PICCCVポートセンター,0,午後後半(15-17時),再診,2
PICCCVポートセンター,1,午前(〜12時),再診,9
PICCCVポートセンター,1,午後前半(12-15時),再診,5
PICCCVポートセンター,2,午前(〜12時),再診,11
PICCCVポートセンター,2,午後前半(12-15時),再診,5
PICCCVポートセンター,3,午前(〜12時),再診,2
PICCCVポートセンター,3,午後前半(12-15時),再診,3
PICCCVポートセンター,4,午前(〜12時),再診,9
PICCCVポートセンター,4,午後前半(12-15時),再診,3
がんゲノム,0,午前(〜12時),再診,1
がんゲノム,0,午後前半(12-15時),再診,4
がんゲノム,1,午前(〜12時),再診,1
がんゲノム,1,午後前半(12-15時),再診,8
アレルギー科,0,午前(〜12時),再診,34
アレルギー科,0,午前(〜12時),初診,1
アレルギー科,1,午前(〜12時),再診,46
アレルギー科,2,午前(〜12時),再診,34
アレルギー科,2,午前(〜12時),初診,1
アレルギー科,3,午前(〜12時),再診,45
アレルギー科,3,午後前半(12-15時),再診,1
ソーシャルワーカー,0,午前(〜12時),再診,18
ソーシャルワーカー,0,午後前半(12-15時),再診,9
ソーシャルワーカー,0,午後後半(15-17時),再診,1
ソーシャルワーカー,1,午前(〜12時),再診,14
ソーシャルワーカー,1,午後前半(12-15時),再診,7
ソーシャルワーカー,1,午後後半(15-17時),再診,1
ソーシャルワーカー,1,夕方以降(17時〜),再診,3
ソーシャルワーカー,2,午前(〜12時),再診,15
ソーシャルワーカー,2,午後前半(12-15時),再診,4
ソーシャルワーカー,2,午後後半(15-17時),再診,1
ソーシャルワーカー,2,夕方以降(17時〜),再診,1
ソーシャルワーカー,3,午前(〜12時),再診,16
ソーシャルワーカー,3,午後前半(12-15時),再診,2
ソーシャルワーカー,3,夕方以降(17時〜),再診,1
ソーシャルワーカー,4,午前(〜12時),再診,11
ソーシャルワーカー,4,午後前半(12-15時),再診,6
ソーシャルワーカー,4,午後後半(15-17時),再診,5
ソーシャルワーカー,4,夕方以降(17時〜),再診,1
メンタルケア科,0,午前(〜12時),再診,90
メンタルケア科,0,午前(〜12時),初診,1
メンタルケア科,0,午後前半(12-15時),再診,9
メンタルケア科,0,夕方以降(17時〜),再診,7
メンタルケア科,1,午前(〜12時),再診,20
メンタルケア科,1,午前(〜12時),初診,1
メンタルケア科,1,午後前半(12-15時),再診,29
メンタルケア科,1,午後後半(15-17時),再診,9
メンタルケア科,1,午後後半(15-17時),初診,1
メンタルケア科,2,午前(〜12時),再診,94
メンタルケア科,2,午後前半(12-15時),再診,44
メンタルケア科,2,午後後半(15-17時),再診,2
メンタルケア科,3,午前(〜12時),再診,15
メンタルケア科,3,午後前半(12-15時),再診,1
メンタルケア科,4,午前(〜12時),再診,11
メンタルケア科,4,午後前半(12-15時),再診,3
メンタルケア科,4,夕方以降(17時〜),再診,2
リウマチ膠原病内科,0,午前(〜12時),再診,138
リウマチ膠原病内科,0,午前(〜12時),初診,5
リウマチ膠原病内科,0,午後前半(12-15時),再診,25
リウマチ膠原病内科,0,午後後半(15-17時),再診,2
リウマチ膠原病内科,1,午前(〜12時),再診,191
リウマチ膠原病内科,1,午前(〜12時),初診,7
リウマチ膠原病内科,1,午後前半(12-15時),再診,7
リウマチ膠原病内科,1,午後後半(15-17時),再診,3
リウマチ膠原病内科,2,午前(〜12時),再診,131
リウマチ膠原病内科,2,午後前半(12-15時),再診,37
リウマチ膠原病内科,2,午後前半(12-15時),初診,8
リウマチ膠原病内科,2,夕方以降(17時〜),再診,1
