診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,5
PICCCVポートセンター,0,午後前半(12-15時),再診,3
PICCCVポートセンター,0,午後後半(15-17時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,12
PICCCVポートセンター,1,午後前半(12-15時),再診,2
PICCCVポートセンター,1,午後後半(15-17時),再診,1
PICCCVポートセンター,2,午前(〜12時),再診,6
PICCCVポートセンター,2,午後前半(12-15時),再診,3
PICCCVポートセンター,3,午前(〜12時),再診,12
PICCCVポートセンター,3,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午前(〜12時),再診,6
PICCCVポートセンター,4,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午後後半(15-17時),再診,1
がんゲノム,0,午後前半(12-15時),再診,1
がんゲノム,0,午後後半(15-17時),再診,1
がんゲノム,1,午前(〜12時),再診,3
がんゲノム,1,午後前半(12-15時),再診,6
アレルギー科,0,午前(〜12時),再診,21
アレルギー科,0,午後後半(15-17時),再診,1
アレルギー科,1,午前(〜12時),再診,43
アレルギー科,2,午前(〜12時),再診,35
アレルギー科,2,午前(〜12時),初診,1
アレルギー科,3,午前(〜12時),再診,38
アレルギー科,3,午前(〜12時),初診,1
ソーシャルワーカー,0,午前(〜12時),再診,8
ソーシャルワーカー,0,午後前半(12-15時),再診,2
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,0,夕方以降(17時〜),再診,2
ソーシャルワーカー,1,午前(〜12時),再診,14
ソーシャルワーカー,1,午後前半(12-15時),再診,4
ソーシャルワーカー,1,午後後半(15-17時),再診,4
ソーシャルワーカー,1,夕方以降(17時〜),再診,3
ソーシャルワーカー,2,午前(〜12時),再診,13
ソーシャルワーカー,2,午後前半(12-15時),再診,3
ソーシャルワーカー,2,午後後半(15-17時),再診,3
ソーシャルワーカー,2,夕方以降(17時〜),再診,5
ソーシャルワーカー,3,午前(〜12時),再診,11
ソーシャルワーカー,3,午後前半(12-15時),再診,5
ソーシャルワーカー,3,午後後半(15-17時),再診,3
ソーシャルワーカー,4,午前(〜12時),再診,17
ソーシャルワーカー,4,午後前半(12-15時),再診,3
