診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,6
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,19
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,10
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,19
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,20
がんゲノム,DR_ON001,1,再診,紹介状無し,8
アレルギー科,DR_AL001,2,再診,紹介状無し,36
アレルギー科,DR_AL002,3,再診,紹介状無し,65
アレルギー科,DR_AL002,3,初診,紹介状あり,2
アレルギー科,DR_AL003,1,再診,紹介状無し,1
アレルギー科,DR_AL003,2,再診,紹介状無し,1
アレルギー科,DR_AL004,2,再診,紹介状無し,1
アレルギー科,DR_AL004,3,再診,紹介状無し,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,49
アレルギー科,DR_RS2003,1,初診,紹介状あり,1
アレルギー科,DR_RS2005,0,再診,紹介状無し,29
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,16
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,24
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,33
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,34
メンタルケア科,DR_MN001,0,再診,紹介状無し,6
メンタルケア科,DR_MN001,2,再診,紹介状無し,150
メンタルケア科,DR_MN001,2,初診,紹介状無し,1
メンタルケア科,DR_MN002,0,再診,紹介状無し,6
メンタルケア科,DR_MN002,1,再診,紹介状無し,17
メンタルケア科,DR_MN002,2,再診,紹介状無し,21
メンタルケア科,DR_MN002,3,再診,紹介状無し,25
メンタルケア科,DR_MN002,4,再診,紹介状無し,10
メンタルケア科,DR_MN004,0,再診,紹介状無し,58
メンタルケア科,DR_MN004,3,再診,紹介状無し,4
メンタルケア科,DR_MN005,2,再診,紹介状無し,5
メンタルケア科,DR_MN005,3,再診,紹介状無し,5
メンタルケア科,DR_MN006,0,再診,紹介状無し,1
メンタルケア科,DR_MN006,2,再診,紹介状無し,2
メンタルケア科,DR_MN006,4,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,3
メンタルケア科,DR_MN008,1,再診,紹介状無し,1
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,49
メンタルケア科,DR_MN009,4,再診,紹介状無し,10
メンタルケア科,DR_MN010,3,再診,紹介状無し,1
メンタルケア科,DR_MN011,1,再診,紹介状無し,2
リウマチ膠原病内科,DR_RH001,2,再診,紹介状無し,34
リウマチ膠原病内科,DR_RH002,2,再診,紹介状無し,56
リウマチ膠原病内科,DR_RH002,2,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH003,1,再診,紹介状無し,62
リウマチ膠原病内科,DR_RH003,1,初診,紹介状あり,5
リウマチ膠原病内科,DR_RH003,1,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH003,4,再診,紹介状無し,74
リウマチ膠原病内科,DR_RH004,0,再診,紹介状無し,55
リウマチ膠原病内科,DR_RH004,3,再診,紹介状無し,54
リウマチ膠原病内科,DR_RH004,3,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH005,0,再診,紹介状無し,10
リウマチ膠原病内科,DR_RH005,1,再診,紹介状無し,19
リウマチ膠原病内科,DR_RH005,2,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH005,3,再診,紹介状無し,6
リウマチ膠原病内科,DR_RH005,4,再診,紹介状無し,14
リウマチ膠原病内科,DR_RH006,0,再診,紹介状無し,42
リウマチ膠原病内科,DR_RH006,0,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH006,3,再診,紹介状無し,68
リウマチ膠原病内科,DR_RH006,4,再診,紹介状無し,72
リウマチ膠原病内科,DR_RH007,0,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH007,1,再診,紹介状無し,11
リウマチ膠原病内科,DR_RH007,2,再診,紹介状無し,13
リウマチ膠原病内科,DR_RH007,3,再診,紹介状無し,12
リウマチ膠原病内科,DR_RH007,4,再診,紹介状無し,5
