診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,5
PICCCVポートセンター,0,午後前半(12-15時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,8
PICCCVポートセンター,1,午後前半(12-15時),再診,8
PICCCVポートセンター,1,午後後半(15-17時),再診,3
PICCCVポートセンター,2,午前(〜12時),再診,10
PICCCVポートセンター,3,午前(〜12時),再診,18
PICCCVポートセンター,3,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午前(〜12時),再診,13
PICCCVポートセンター,4,午後前半(12-15時),再診,4
PICCCVポートセンター,4,午後後半(15-17時),再診,3
がんゲノム,1,午前(〜12時),再診,2
がんゲノム,1,午後前半(12-15時),再診,6
アレルギー科,0,午前(〜12時),再診,29
アレルギー科,1,午前(〜12時),再診,49
アレルギー科,1,午前(〜12時),初診,1
アレルギー科,1,午後前半(12-15時),再診,1
アレルギー科,2,午前(〜12時),再診,38
アレルギー科,3,午前(〜12時),再診,65
アレルギー科,3,午前(〜12時),初診,2
アレルギー科,3,午後後半(15-17時),再診,1
ソーシャルワーカー,0,午前(〜12時),再診,9
ソーシャルワーカー,0,午後前半(12-15時),再診,4
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,0,夕方以降(17時〜),再診,1
ソーシャルワーカー,1,午前(〜12時),再診,13
ソーシャルワーカー,1,午後前半(12-15時),再診,6
ソーシャルワーカー,1,午後後半(15-17時),再診,1
ソーシャルワーカー,1,夕方以降(17時〜),再診,4
ソーシャルワーカー,2,午前(〜12時),再診,20
ソーシャルワーカー,2,午後前半(12-15時),再診,9
ソーシャルワーカー,2,午後後半(15-17時),再診,3
ソーシャルワーカー,2,夕方以降(17時〜),再診,1
ソーシャルワーカー,3,午前(〜12時),再診,16
ソーシャルワーカー,3,午後前半(12-15時),再診,6
ソーシャルワーカー,3,夕方以降(17時〜),再診,3
ソーシャルワーカー,4,午前(〜12時),再診,18
ソーシャルワーカー,4,午後前半(12-15時),再診,7
ソーシャルワーカー,4,午後後半(15-17時),再診,3
ソーシャルワーカー,4,夕方以降(17時〜),再診,6
メンタルケア科,0,午前(〜12時),再診,69
メンタルケア科,0,午後前半(12-15時),再診,2
メンタルケア科,1,午前(〜12時),再診,17
メンタルケア科,1,午後前半(12-15時),再診,39
メンタルケア科,1,午後後半(15-17時),再診,13
メンタルケア科,2,午前(〜12時),再診,127
メンタルケア科,2,午前(〜12時),初診,1
メンタルケア科,2,午後前半(12-15時),再診,50
メンタルケア科,2,午後後半(15-17時),再診,1
メンタルケア科,3,午前(〜12時),再診,28
メンタルケア科,3,午後前半(12-15時),再診,6
メンタルケア科,3,午後後半(15-17時),再診,4
メンタルケア科,4,午前(〜12時),再診,20
メンタルケア科,4,午後前半(12-15時),再診,1
メンタルケア科,4,午後後半(15-17時),再診,1
リウマチ膠原病内科,0,午前(〜12時),再診,115
リウマチ膠原病内科,0,午前(〜12時),初診,2
リウマチ膠原病内科,0,午後前半(12-15時),再診,12
リウマチ膠原病内科,0,午後後半(15-17時),再診,3
リウマチ膠原病内科,0,夕方以降(17時〜),再診,1
リウマチ膠原病内科,1,午前(〜12時),再診,175
リウマチ膠原病内科,1,午前(〜12時),初診,6
リウマチ膠原病内科,1,午後前半(12-15時),再診,8
リウマチ膠原病内科,1,午後後半(15-17時),再診,5
リウマチ膠原病内科,2,午前(〜12時),再診,212
リウマチ膠原病内科,2,午前(〜12時),初診,3
リウマチ膠原病内科,2,午後前半(12-15時),再診,52
リウマチ膠原病内科,2,午後前半(12-15時),初診,2
リウマチ膠原病内科,2,午後後半(15-17時),再診,1
リウマチ膠原病内科,3,午前(〜12時),再診,189
リウマチ膠原病内科,3,午前(〜12時),初診,10
リウマチ膠原病内科,3,午後前半(12-15時),再診,60
リウマチ膠原病内科,3,夕方以降(17時〜),再診,2
リウマチ膠原病内科,4,午前(〜12時),再診,194
リウマチ膠原病内科,4,午前(〜12時),初診,6
リウマチ膠原病内科,4,午後前半(12-15時),再診,62
リウマチ膠原病内科,4,午後後半(15-17時),再診,5
一般消化器外科,0,午前(〜12時),再診,125
一般消化器外科,0,午前(〜12時),初診,2
一般消化器外科,0,午後前半(12-15時),再診,39
一般消化器外科,0,午後前半(12-15時),初診,1
一般消化器外科,0,午後後半(15-17時),再診,5
一般消化器外科,0,夕方以降(17時〜),初診,2
一般消化器外科,1,午前(〜12時),再診,188
一般消化器外科,1,午前(〜12時),初診,5
一般消化器外科,1,午後前半(12-15時),再診,14
一般消化器外科,1,午後前半(12-15時),初診,1
一般消化器外科,1,午後後半(15-17時),再診,1
一般消化器外科,1,夕方以降(17時〜),初診,1
一般消化器外科,2,午前(〜12時),再診,215
一般消化器外科,2,午前(〜12時),初診,10
一般消化器外科,2,午後前半(12-15時),再診,45
一般消化器外科,2,午後前半(12-15時),初診,4
一般消化器外科,2,午後後半(15-17時),再診,5
一般消化器外科,3,午前(〜12時),再診,294
一般消化器外科,3,午前(〜12時),初診,18
一般消化器外科,3,午後前半(12-15時),再診,63
一般消化器外科,3,午後前半(12-15時),初診,1
一般消化器外科,3,午後後半(15-17時),再診,9
一般消化器外科,3,午後後半(15-17時),初診,1
一般消化器外科,3,夕方以降(17時〜),再診,1
一般消化器外科,4,午前(〜12時),再診,82
一般消化器外科,4,午前(〜12時),初診,7
一般消化器外科,4,午後前半(12-15時),再診,8
一般消化器外科,4,午後前半(12-15時),初診,1
一般消化器外科,4,午後後半(15-17時),再診,2
一般消化器外科,4,夕方以降(17時〜),初診,2
一般消化器外科,5,午前(〜12時),再診,3
一般消化器外科,5,午後前半(12-15時),再診,2
一般消化器外科,5,夕方以降(17時〜),再診,1
一般消化器外科,5,夕方以降(17時〜),初診,1
一般消化器外科,6,午前(〜12時),再診,1
一般消化器外科,6,午前(〜12時),初診,2
一般消化器外科,6,午後後半(15-17時),初診,1
中央処置室,0,午前(〜12時),再診,25
中央処置室,0,午後前半(12-15時),再診,3
中央処置室,1,午前(〜12時),再診,35
中央処置室,1,午後前半(12-15時),再診,2
中央処置室,2,午前(〜12時),再診,27
中央処置室,2,午後前半(12-15時),再診,3
中央処置室,3,午前(〜12時),再診,21
中央処置室,3,午後前半(12-15時),再診,10
中央処置室,4,午前(〜12時),再診,19
中央処置室,4,午後前半(12-15時),再診,3
中央処置室,4,午後後半(15-17時),再診,1
乳腺外科,0,午前(〜12時),再診,261
乳腺外科,0,午前(〜12時),初診,12
乳腺外科,0,午後前半(12-15時),再診,43
乳腺外科,0,午後前半(12-15時),初診,1
乳腺外科,0,午後後半(15-17時),再診,7
乳腺外科,1,午前(〜12時),再診,351
乳腺外科,1,午前(〜12時),初診,7
乳腺外科,1,午後前半(12-15時),再診,107
乳腺外科,1,午後前半(12-15時),初診,5
乳腺外科,1,午後後半(15-17時),再診,6
乳腺外科,2,午前(〜12時),再診,357
乳腺外科,2,午前(〜12時),初診,20
乳腺外科,2,午後前半(12-15時),再診,60
乳腺外科,2,午後後半(15-17時),再診,7
乳腺外科,2,夕方以降(17時〜),再診,1
乳腺外科,3,午前(〜12時),再診,68
乳腺外科,3,午前(〜12時),初診,3
乳腺外科,3,午後前半(12-15時),再診,26
乳腺外科,3,午後後半(15-17時),再診,5
乳腺外科,4,午前(〜12時),再診,288
乳腺外科,4,午前(〜12時),初診,20
乳腺外科,4,午後前半(12-15時),再診,43
乳腺外科,4,午後前半(12-15時),初診,3
乳腺外科,4,午後後半(15-17時),再診,8
乳腺外科,5,午前(〜12時),再診,1
