診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,1,1
PICCCVポートセンター,保留,枠なし予約,2,1
PICCCVポートセンター,保留,枠なし予約,3,1
PICCCVポートセンター,未来院,枠なし予約,1,1
PICCCVポートセンター,未来院,枠なし予約,3,1
PICCCVポートセンター,未来院,枠なし予約,4,1
PICCCVポートセンター,病院到着,枠なし予約,0,1
PICCCVポートセンター,病院到着,枠なし予約,3,2
PICCCVポートセンター,終了,枠なし予約,0,6
PICCCVポートセンター,終了,枠なし予約,1,12
PICCCVポートセンター,終了,枠なし予約,2,12
PICCCVポートセンター,終了,枠なし予約,3,10
PICCCVポートセンター,終了,枠なし予約,4,15
がんゲノム,病院到着,枠あり予約,1,1
がんゲノム,終了,枠あり予約,0,5
がんゲノム,終了,枠あり予約,1,5
アレルギー科,6,枠あり予約,3,1
アレルギー科,保留,枠あり予約,3,1
アレルギー科,未来院,枠あり予約,1,7
アレルギー科,未来院,枠あり予約,2,4
アレルギー科,未来院,枠あり予約,3,5
アレルギー科,病院到着,枠あり予約,1,3
アレルギー科,終了,枠あり予約,0,21
アレルギー科,終了,枠あり予約,1,44
アレルギー科,終了,枠あり予約,2,40
アレルギー科,終了,枠あり予約,3,58
アレルギー科,終了,枠なし予約,0,1
アレルギー科,終了,枠なし予約,3,1
ソーシャルワーカー,保留,枠あり予約,0,1
ソーシャルワーカー,保留,枠なし予約,3,1
ソーシャルワーカー,保留,枠なし予約,4,1
ソーシャルワーカー,未来院,枠あり予約,0,5
ソーシャルワーカー,未来院,枠あり予約,1,4
ソーシャルワーカー,未来院,枠あり予約,2,3
ソーシャルワーカー,未来院,枠あり予約,3,5
ソーシャルワーカー,未来院,枠あり予約,4,2
ソーシャルワーカー,未来院,枠なし予約,0,2
ソーシャルワーカー,未来院,枠なし予約,1,1
ソーシャルワーカー,未来院,枠なし予約,2,2
ソーシャルワーカー,未来院,枠なし予約,3,1
ソーシャルワーカー,病院到着,枠あり予約,0,1
ソーシャルワーカー,病院到着,枠あり予約,1,2
ソーシャルワーカー,病院到着,枠あり予約,3,1
ソーシャルワーカー,病院到着,枠あり予約,4,3
ソーシャルワーカー,病院到着,枠なし予約,0,3
ソーシャルワーカー,病院到着,枠なし予約,1,1
ソーシャルワーカー,病院到着,枠なし予約,2,1
ソーシャルワーカー,病院到着,枠なし予約,3,1
ソーシャルワーカー,終了,枠あり予約,0,11
ソーシャルワーカー,終了,枠あり予約,1,23
ソーシャルワーカー,終了,枠あり予約,2,21
ソーシャルワーカー,終了,枠あり予約,3,14
ソーシャルワーカー,終了,枠あり予約,4,19
ソーシャルワーカー,終了,枠なし予約,0,3
ソーシャルワーカー,終了,枠なし予約,1,4
ソーシャルワーカー,終了,枠なし予約,2,5
ソーシャルワーカー,終了,枠なし予約,3,1
ソーシャルワーカー,終了,枠なし予約,4,7
メンタルケア科,6,枠あり予約,2,1
メンタルケア科,未来院,枠あり予約,0,3
メンタルケア科,未来院,枠あり予約,1,3
メンタルケア科,未来院,枠あり予約,2,8
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠あり予約,4,2
メンタルケア科,未来院,枠なし予約,0,3
メンタルケア科,未来院,枠なし予約,2,2
メンタルケア科,未来院,枠なし予約,3,1
メンタルケア科,未来院,枠なし予約,4,3
メンタルケア科,病院到着,枠あり予約,2,1
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠あり予約,4,1
メンタルケア科,病院到着,枠なし予約,0,1
メンタルケア科,病院到着,枠なし予約,1,1
メンタルケア科,病院到着,枠なし予約,3,2
メンタルケア科,病院到着,枠なし予約,4,1
メンタルケア科,終了,枠あり予約,0,54
メンタルケア科,終了,枠あり予約,1,40
メンタルケア科,終了,枠あり予約,2,146
メンタルケア科,終了,枠あり予約,3,3
メンタルケア科,終了,枠あり予約,4,5
メンタルケア科,終了,枠なし予約,0,22
メンタルケア科,終了,枠なし予約,1,30
メンタルケア科,終了,枠なし予約,2,23
メンタルケア科,終了,枠なし予約,3,16
メンタルケア科,終了,枠なし予約,4,10
リウマチ膠原病内科,6,枠あり予約,2,1
リウマチ膠原病内科,保留,枠あり予約,1,1
リウマチ膠原病内科,保留,枠あり予約,4,1
リウマチ膠原病内科,未来院,枠あり予約,0,4
リウマチ膠原病内科,未来院,枠あり予約,1,8
リウマチ膠原病内科,未来院,枠あり予約,2,14
リウマチ膠原病内科,未来院,枠あり予約,3,7
リウマチ膠原病内科,未来院,枠あり予約,4,8
リウマチ膠原病内科,未来院,枠なし予約,0,2
リウマチ膠原病内科,未来院,枠なし予約,2,2
リウマチ膠原病内科,未来院,枠なし予約,4,1
リウマチ膠原病内科,病院到着,枠あり予約,4,1
リウマチ膠原病内科,病院到着,枠なし予約,3,2
リウマチ膠原病内科,終了,枠あり予約,0,109
