診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,7
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,14
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,13
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,14
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,16
がんゲノム,DR_ON001,0,再診,紹介状無し,5
がんゲノム,DR_ON001,1,再診,紹介状無し,6
アレルギー科,DR_AL001,2,再診,紹介状無し,42
アレルギー科,DR_AL002,3,再診,紹介状無し,66
アレルギー科,DR_AL004,1,再診,紹介状無し,1
アレルギー科,DR_AL004,2,再診,紹介状無し,2
アレルギー科,DR_RS2003,1,再診,紹介状無し,53
アレルギー科,DR_RS2005,0,再診,紹介状無し,22
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,26
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,35
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,32
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,24
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,31
ソーシャルワーカー,DR_XX031,4,再診,紹介状無し,1
メンタルケア科,DR_MN001,0,再診,紹介状無し,8
メンタルケア科,DR_MN001,2,再診,紹介状無し,141
メンタルケア科,DR_MN002,0,再診,紹介状無し,22
メンタルケア科,DR_MN002,1,再診,紹介状無し,31
メンタルケア科,DR_MN002,2,再診,紹介状無し,26
メンタルケア科,DR_MN002,3,再診,紹介状無し,15
メンタルケア科,DR_MN002,4,再診,紹介状無し,15
メンタルケア科,DR_MN004,0,再診,紹介状無し,53
メンタルケア科,DR_MN004,3,再診,紹介状無し,6
メンタルケア科,DR_MN005,2,再診,紹介状無し,13
メンタルケア科,DR_MN006,2,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,1
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,42
メンタルケア科,DR_MN009,4,再診,紹介状無し,6
メンタルケア科,DR_MN010,3,再診,紹介状無し,1
