診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,0,3
PICCCVポートセンター,保留,枠なし予約,1,2
PICCCVポートセンター,保留,枠なし予約,4,1
PICCCVポートセンター,未来院,枠なし予約,1,1
PICCCVポートセンター,未来院,枠なし予約,3,1
PICCCVポートセンター,終了,枠なし予約,0,13
PICCCVポートセンター,終了,枠なし予約,1,7
PICCCVポートセンター,終了,枠なし予約,2,12
PICCCVポートセンター,終了,枠なし予約,3,11
PICCCVポートセンター,終了,枠なし予約,4,22
がんゲノム,終了,枠あり予約,0,6
がんゲノム,終了,枠あり予約,1,11
アレルギー科,未来院,枠あり予約,0,3
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠なし予約,0,1
アレルギー科,病院到着,枠あり予約,3,1
アレルギー科,病院到着,枠なし予約,2,2
アレルギー科,終了,枠あり予約,0,21
アレルギー科,終了,枠あり予約,1,41
アレルギー科,終了,枠あり予約,2,24
アレルギー科,終了,枠あり予約,3,41
アレルギー科,終了,枠なし予約,0,4
アレルギー科,終了,枠なし予約,2,2
ソーシャルワーカー,保留,枠あり予約,1,2
ソーシャルワーカー,保留,枠あり予約,2,1
ソーシャルワーカー,保留,枠なし予約,1,1
ソーシャルワーカー,未来院,枠あり予約,0,2
ソーシャルワーカー,未来院,枠あり予約,1,5
ソーシャルワーカー,未来院,枠あり予約,2,3
ソーシャルワーカー,未来院,枠あり予約,3,2
ソーシャルワーカー,未来院,枠あり予約,4,3
ソーシャルワーカー,未来院,枠なし予約,0,1
ソーシャルワーカー,未来院,枠なし予約,2,1
ソーシャルワーカー,未来院,枠なし予約,3,1
ソーシャルワーカー,病院到着,枠あり予約,0,1
ソーシャルワーカー,病院到着,枠あり予約,1,1
ソーシャルワーカー,病院到着,枠あり予約,4,2
ソーシャルワーカー,病院到着,枠なし予約,1,2
ソーシャルワーカー,病院到着,枠なし予約,2,2
ソーシャルワーカー,病院到着,枠なし予約,3,2
ソーシャルワーカー,終了,枠あり予約,0,21
ソーシャルワーカー,終了,枠あり予約,1,16
ソーシャルワーカー,終了,枠あり予約,2,24
ソーシャルワーカー,終了,枠あり予約,3,13
ソーシャルワーカー,終了,枠あり予約,4,14
ソーシャルワーカー,終了,枠なし予約,1,2
ソーシャルワーカー,終了,枠なし予約,3,1
ソーシャルワーカー,終了,枠なし予約,4,2
メンタルケア科,6,枠あり予約,2,1
メンタルケア科,未来院,枠あり予約,0,4
メンタルケア科,未来院,枠あり予約,1,2
メンタルケア科,未来院,枠あり予約,2,1
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠なし予約,1,2
メンタルケア科,未来院,枠なし予約,2,1
メンタルケア科,未来院,枠なし予約,3,2
