診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,11
PICCCVポートセンター,0,午後前半(12-15時),再診,4
PICCCVポートセンター,0,午後後半(15-17時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,9
PICCCVポートセンター,1,午後前半(12-15時),再診,1
PICCCVポートセンター,2,午前(〜12時),再診,8
PICCCVポートセンター,2,午後前半(12-15時),再診,4
PICCCVポートセンター,3,午前(〜12時),再診,10
PICCCVポートセンター,3,午後前半(12-15時),再診,2
PICCCVポートセンター,4,午前(〜12時),再診,16
PICCCVポートセンター,4,午後前半(12-15時),再診,6
PICCCVポートセンター,4,午後後半(15-17時),再診,1
がんゲノム,0,午前(〜12時),再診,2
がんゲノム,0,午後前半(12-15時),再診,4
がんゲノム,1,午前(〜12時),再診,3
がんゲノム,1,午後前半(12-15時),再診,6
がんゲノム,1,午後後半(15-17時),再診,2
アレルギー科,0,午前(〜12時),再診,29
アレルギー科,1,午前(〜12時),再診,41
アレルギー科,2,午前(〜12時),再診,29
アレルギー科,3,午前(〜12時),再診,40
アレルギー科,3,午前(〜12時),初診,1
アレルギー科,3,午後前半(12-15時),再診,1
ソーシャルワーカー,0,午前(〜12時),再診,17
ソーシャルワーカー,0,午後前半(12-15時),再診,4
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,0,夕方以降(17時〜),再診,2
ソーシャルワーカー,1,午前(〜12時),再診,15
ソーシャルワーカー,1,午後前半(12-15時),再診,6
ソーシャルワーカー,1,午後後半(15-17時),再診,3
ソーシャルワーカー,1,夕方以降(17時〜),再診,5
ソーシャルワーカー,2,午前(〜12時),再診,14
ソーシャルワーカー,2,午後前半(12-15時),再診,9
ソーシャルワーカー,2,午後後半(15-17時),再診,6
ソーシャルワーカー,2,夕方以降(17時〜),再診,2
ソーシャルワーカー,3,午前(〜12時),再診,13
ソーシャルワーカー,3,午後前半(12-15時),再診,3
ソーシャルワーカー,3,午後後半(15-17時),再診,1
ソーシャルワーカー,3,夕方以降(17時〜),再診,2
ソーシャルワーカー,4,午前(〜12時),再診,12
ソーシャルワーカー,4,午後前半(12-15時),再診,3
ソーシャルワーカー,4,午後後半(15-17時),再診,6
メンタルケア科,0,午前(〜12時),再診,77
メンタルケア科,0,午後前半(12-15時),再診,9
メンタルケア科,0,午後後半(15-17時),再診,1
メンタルケア科,1,午前(〜12時),再診,14
メンタルケア科,1,午後前半(12-15時),再診,28
メンタルケア科,1,午後後半(15-17時),再診,11
メンタルケア科,1,夕方以降(17時〜),再診,2
メンタルケア科,2,午前(〜12時),再診,109
メンタルケア科,2,午後前半(12-15時),再診,57
メンタルケア科,2,午後後半(15-17時),再診,2
メンタルケア科,2,夕方以降(17時〜),再診,3
メンタルケア科,3,午前(〜12時),再診,19
メンタルケア科,3,午後前半(12-15時),再診,8
メンタルケア科,3,午後後半(15-17時),再診,2
メンタルケア科,3,夕方以降(17時〜),再診,1
メンタルケア科,4,午前(〜12時),再診,18
メンタルケア科,4,午後前半(12-15時),再診,3
メンタルケア科,4,午後後半(15-17時),再診,1
リウマチ膠原病内科,0,午前(〜12時),再診,144
リウマチ膠原病内科,0,午前(〜12時),初診,4
リウマチ膠原病内科,0,午後前半(12-15時),再診,23
リウマチ膠原病内科,0,午後後半(15-17時),再診,2
リウマチ膠原病内科,0,午後後半(15-17時),初診,1
リウマチ膠原病内科,0,夕方以降(17時〜),再診,1
リウマチ膠原病内科,1,午前(〜12時),再診,166
リウマチ膠原病内科,1,午前(〜12時),初診,6
リウマチ膠原病内科,1,午後前半(12-15時),再診,16
リウマチ膠原病内科,1,夕方以降(17時〜),再診,1
リウマチ膠原病内科,2,午前(〜12時),再診,156
リウマチ膠原病内科,2,午前(〜12時),初診,4
リウマチ膠原病内科,2,午後前半(12-15時),再診,33
リウマチ膠原病内科,2,午後前半(12-15時),初診,1
リウマチ膠原病内科,2,午後後半(15-17時),再診,2
リウマチ膠原病内科,3,午前(〜12時),再診,154
リウマチ膠原病内科,3,午前(〜12時),初診,5
リウマチ膠原病内科,3,午後前半(12-15時),再診,42
リウマチ膠原病内科,4,午前(〜12時),再診,139
リウマチ膠原病内科,4,午前(〜12時),初診,8
リウマチ膠原病内科,4,午後前半(12-15時),再診,43
リウマチ膠原病内科,4,午後後半(15-17時),再診,1
リウマチ膠原病内科,4,夕方以降(17時〜),再診,1
一般消化器外科,0,午前(〜12時),再診,157
一般消化器外科,0,午前(〜12時),初診,5
一般消化器外科,0,午後前半(12-15時),再診,57
一般消化器外科,0,午後前半(12-15時),初診,5
一般消化器外科,0,午後後半(15-17時),再診,12
一般消化器外科,0,夕方以降(17時〜),初診,1
一般消化器外科,1,午前(〜12時),再診,199
一般消化器外科,1,午前(〜12時),初診,9
一般消化器外科,1,午後前半(12-15時),再診,27
一般消化器外科,1,午後前半(12-15時),初診,1
一般消化器外科,1,午後後半(15-17時),再診,1
一般消化器外科,1,夕方以降(17時〜),再診,1
一般消化器外科,2,午前(〜12時),再診,254
一般消化器外科,2,午前(〜12時),初診,11
一般消化器外科,2,午後前半(12-15時),再診,37
一般消化器外科,2,午後前半(12-15時),初診,5
一般消化器外科,2,午後後半(15-17時),再診,4
一般消化器外科,2,夕方以降(17時〜),再診,1
一般消化器外科,2,夕方以降(17時〜),初診,1
一般消化器外科,3,午前(〜12時),再診,243
一般消化器外科,3,午前(〜12時),初診,17
一般消化器外科,3,午後前半(12-15時),再診,53
一般消化器外科,3,午後前半(12-15時),初診,1
一般消化器外科,3,午後後半(15-17時),再診,10
一般消化器外科,3,夕方以降(17時〜),再診,1
一般消化器外科,3,夕方以降(17時〜),初診,2
一般消化器外科,4,午前(〜12時),再診,72
一般消化器外科,4,午前(〜12時),初診,5
一般消化器外科,4,午後前半(12-15時),再診,14
一般消化器外科,4,夕方以降(17時〜),初診,1
一般消化器外科,5,夕方以降(17時〜),再診,2
一般消化器外科,5,夕方以降(17時〜),初診,2
一般消化器外科,6,午後前半(12-15時),初診,1
一般消化器外科,6,夕方以降(17時〜),再診,1
中央処置室,0,午前(〜12時),再診,26
中央処置室,0,午後前半(12-15時),再診,6
中央処置室,1,午前(〜12時),再診,27
中央処置室,1,午後前半(12-15時),再診,6
中央処置室,2,午前(〜12時),再診,27
中央処置室,2,午後前半(12-15時),再診,4
中央処置室,3,午前(〜12時),再診,26
中央処置室,3,午後前半(12-15時),再診,7
中央処置室,4,午前(〜12時),再診,33
中央処置室,4,午後前半(12-15時),再診,5
乳腺外科,0,午前(〜12時),再診,339
乳腺外科,0,午前(〜12時),初診,18
乳腺外科,0,午後前半(12-15時),再診,52
乳腺外科,0,午後前半(12-15時),初診,1
乳腺外科,0,午後後半(15-17時),再診,10
乳腺外科,0,夕方以降(17時〜),再診,1
乳腺外科,1,午前(〜12時),再診,329
乳腺外科,1,午前(〜12時),初診,12
乳腺外科,1,午後前半(12-15時),再診,110
乳腺外科,1,午後前半(12-15時),初診,3
乳腺外科,1,午後後半(15-17時),再診,3
乳腺外科,2,午前(〜12時),再診,336
乳腺外科,2,午前(〜12時),初診,21
乳腺外科,2,午後前半(12-15時),再診,55
乳腺外科,2,午後後半(15-17時),再診,7
乳腺外科,2,夕方以降(17時〜),再診,1
乳腺外科,3,午前(〜12時),再診,66
乳腺外科,3,午前(〜12時),初診,6
乳腺外科,3,午後前半(12-15時),再診,15
乳腺外科,3,午後後半(15-17時),再診,4
乳腺外科,4,午前(〜12時),再診,247
乳腺外科,4,午前(〜12時),初診,9
乳腺外科,4,午後前半(12-15時),再診,18
乳腺外科,4,午後後半(15-17時),再診,2
乳腺外科,5,午前(〜12時),再診,2
乳腺外科,5,午後前半(12-15時),再診,1
乳腺外科,5,午後後半(15-17時),再診,2
健診センター,1,午前(〜12時),再診,17
健診センター,1,午後前半(12-15時),再診,7
健診センター,2,午前(〜12時),再診,31
健診センター,2,午後前半(12-15時),再診,5
健診センター,3,午前(〜12時),再診,17
健診センター,4,午前(〜12時),再診,15
入退院支援センター,0,午前(〜12時),再診,90
入退院支援センター,0,午後前半(12-15時),再診,43
入退院支援センター,0,午後後半(15-17時),再診,7
入退院支援センター,1,午前(〜12時),再診,93
入退院支援センター,1,午後前半(12-15時),再診,33
入退院支援センター,1,午後後半(15-17時),再診,2
入退院支援センター,2,午前(〜12時),再診,124
入退院支援センター,2,午後前半(12-15時),再診,49
入退院支援センター,2,午後後半(15-17時),再診,10
入退院支援センター,3,午前(〜12時),再診,97
入退院支援センター,3,午後前半(12-15時),再診,43
入退院支援センター,3,午後後半(15-17時),再診,3
入退院支援センター,4,午前(〜12時),再診,75
入退院支援センター,4,午後前半(12-15時),再診,40
入退院支援センター,4,午後後半(15-17時),再診,11
内科,0,午前(〜12時),再診,3
内科,0,午前(〜12時),初診,9
内科,0,午後前半(12-15時),初診,1
内科,0,午後後半(15-17時),再診,1
内科,0,夕方以降(17時〜),再診,10
内科,0,夕方以降(17時〜),初診,7
内科,1,午前(〜12時),再診,7
内科,1,午前(〜12時),初診,7
内科,1,午後前半(12-15時),再診,3
内科,1,午後前半(12-15時),初診,1
内科,1,午後後半(15-17時),初診,1
内科,1,夕方以降(17時〜),再診,10
内科,1,夕方以降(17時〜),初診,21
内科,2,午前(〜12時),再診,5
内科,2,午前(〜12時),初診,11
内科,2,午後前半(12-15時),再診,4
内科,2,午後後半(15-17時),再診,1
内科,2,午後後半(15-17時),初診,1
内科,2,夕方以降(17時〜),再診,16
内科,2,夕方以降(17時〜),初診,17
内科,3,午前(〜12時),再診,1
内科,3,午前(〜12時),初診,9
内科,3,午後前半(12-15時),初診,1
内科,3,夕方以降(17時〜),再診,9
内科,3,夕方以降(17時〜),初診,10
内科,4,午前(〜12時),再診,5
内科,4,午前(〜12時),初診,5
内科,4,午後前半(12-15時),再診,1
