診療科名,曜日,受付h,初再診区分,紹介状有無,件数
PICCCVポートセンター,0,7,再診,紹介状無し,1
PICCCVポートセンター,0,9,再診,紹介状無し,4
PICCCVポートセンター,0,11,再診,紹介状無し,1
PICCCVポートセンター,1,7,再診,紹介状無し,1
PICCCVポートセンター,1,8,再診,紹介状無し,3
PICCCVポートセンター,1,9,再診,紹介状無し,5
PICCCVポートセンター,1,10,再診,紹介状無し,4
PICCCVポートセンター,1,11,再診,紹介状無し,1
PICCCVポートセンター,1,12,再診,紹介状無し,1
PICCCVポートセンター,1,13,再診,紹介状無し,2
PICCCVポートセンター,2,8,再診,紹介状無し,3
PICCCVポートセンター,2,9,再診,紹介状無し,2
PICCCVポートセンター,2,10,再診,紹介状無し,5
PICCCVポートセンター,2,11,再診,紹介状無し,2
PICCCVポートセンター,3,0,再診,紹介状無し,1
PICCCVポートセンター,3,9,再診,紹介状無し,1
PICCCVポートセンター,3,10,再診,紹介状無し,1
PICCCVポートセンター,3,11,再診,紹介状無し,3
PICCCVポートセンター,3,13,再診,紹介状無し,1
PICCCVポートセンター,4,8,再診,紹介状無し,2
PICCCVポートセンター,4,9,再診,紹介状無し,1
PICCCVポートセンター,4,10,再診,紹介状無し,4
PICCCVポートセンター,4,11,再診,紹介状無し,1
PICCCVポートセンター,4,12,再診,紹介状無し,1
PICCCVポートセンター,4,13,再診,紹介状無し,2
PICCCVポートセンター,4,14,再診,紹介状無し,2
PICCCVポートセンター,4,15,再診,紹介状無し,1
がんゲノム,0,0,再診,紹介状無し,1
がんゲノム,0,10,再診,紹介状無し,1
がんゲノム,0,13,再診,紹介状無し,2
がんゲノム,0,14,再診,紹介状無し,1
がんゲノム,1,12,再診,紹介状無し,1
がんゲノム,1,13,再診,紹介状無し,2
がんゲノム,1,14,再診,紹介状無し,3
アレルギー科,0,0,再診,紹介状無し,1
アレルギー科,0,8,再診,紹介状無し,7
アレルギー科,0,9,再診,紹介状無し,8
アレルギー科,0,10,再診,紹介状無し,4
