診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,6
PICCCVポートセンター,1,午前(〜12時),再診,14
PICCCVポートセンター,1,午後前半(12-15時),再診,3
PICCCVポートセンター,2,午前(〜12時),再診,12
PICCCVポートセンター,3,午前(〜12時),再診,6
PICCCVポートセンター,3,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午前(〜12時),再診,8
PICCCVポートセンター,4,午後前半(12-15時),再診,5
PICCCVポートセンター,4,午後後半(15-17時),再診,1
がんゲノム,0,午前(〜12時),再診,2
がんゲノム,0,午後前半(12-15時),再診,3
がんゲノム,1,午後前半(12-15時),再診,6
アレルギー科,0,午前(〜12時),再診,20
アレルギー科,1,午前(〜12時),再診,51
アレルギー科,1,午前(〜12時),初診,1
アレルギー科,2,午前(〜12時),再診,28
アレルギー科,3,午前(〜12時),再診,47
アレルギー科,3,午後後半(15-17時),再診,1
ソーシャルワーカー,0,午前(〜12時),再診,12
ソーシャルワーカー,0,午後前半(12-15時),再診,4
ソーシャルワーカー,0,午後後半(15-17時),再診,2
ソーシャルワーカー,1,午前(〜12時),再診,22
ソーシャルワーカー,1,午後前半(12-15時),再診,3
ソーシャルワーカー,1,午後後半(15-17時),再診,3
ソーシャルワーカー,2,午前(〜12時),再診,18
ソーシャルワーカー,2,午後前半(12-15時),再診,5
ソーシャルワーカー,2,午後後半(15-17時),再診,4
ソーシャルワーカー,2,夕方以降(17時〜),再診,3
ソーシャルワーカー,3,午前(〜12時),再診,13
ソーシャルワーカー,3,午後前半(12-15時),再診,3
ソーシャルワーカー,3,夕方以降(17時〜),再診,5
ソーシャルワーカー,4,午前(〜12時),再診,18
ソーシャルワーカー,4,午後前半(12-15時),再診,5
ソーシャルワーカー,4,午後後半(15-17時),再診,2
ソーシャルワーカー,4,夕方以降(17時〜),再診,7
メンタルケア科,0,午前(〜12時),再診,79
メンタルケア科,0,午後前半(12-15時),再診,1
メンタルケア科,1,午前(〜12時),再診,21
メンタルケア科,1,午後前半(12-15時),再診,27
メンタルケア科,1,午後後半(15-17時),再診,14
メンタルケア科,2,午前(〜12時),再診,117
メンタルケア科,2,午後前半(12-15時),再診,36
メンタルケア科,2,午後後半(15-17時),再診,1
メンタルケア科,2,夕方以降(17時〜),再診,3
メンタルケア科,3,午前(〜12時),再診,30
メンタルケア科,3,午後前半(12-15時),再診,7
メンタルケア科,4,午前(〜12時),再診,17
メンタルケア科,4,午後前半(12-15時),再診,4
メンタルケア科,4,午後後半(15-17時),再診,2
リウマチ膠原病内科,0,午前(〜12時),再診,105
リウマチ膠原病内科,0,午前(〜12時),初診,3
リウマチ膠原病内科,0,午後前半(12-15時),再診,11
リウマチ膠原病内科,1,午前(〜12時),再診,205
リウマチ膠原病内科,1,午前(〜12時),初診,6
リウマチ膠原病内科,1,午後前半(12-15時),再診,9
リウマチ膠原病内科,2,午前(〜12時),再診,195
リウマチ膠原病内科,2,午前(〜12時),初診,3
リウマチ膠原病内科,2,午後前半(12-15時),再診,44
リウマチ膠原病内科,2,午後前半(12-15時),初診,1
リウマチ膠原病内科,3,午前(〜12時),再診,194
リウマチ膠原病内科,3,午前(〜12時),初診,8
リウマチ膠原病内科,3,午後前半(12-15時),再診,65
リウマチ膠原病内科,3,午後後半(15-17時),再診,1
リウマチ膠原病内科,3,夕方以降(17時〜),再診,1
リウマチ膠原病内科,4,午前(〜12時),再診,168
リウマチ膠原病内科,4,午前(〜12時),初診,5
リウマチ膠原病内科,4,午後前半(12-15時),再診,43
リウマチ膠原病内科,4,午後後半(15-17時),再診,1
一般消化器外科,0,午前(〜12時),再診,100
一般消化器外科,0,午前(〜12時),初診,5
一般消化器外科,0,午後前半(12-15時),再診,22
一般消化器外科,0,午後前半(12-15時),初診,6
一般消化器外科,0,午後後半(15-17時),再診,6
一般消化器外科,0,夕方以降(17時〜),再診,2
一般消化器外科,0,夕方以降(17時〜),初診,1
一般消化器外科,1,午前(〜12時),再診,159
一般消化器外科,1,午前(〜12時),初診,8
一般消化器外科,1,午後前半(12-15時),再診,30
一般消化器外科,1,午後前半(12-15時),初診,1
一般消化器外科,1,夕方以降(17時〜),再診,1
一般消化器外科,2,午前(〜12時),再診,182
一般消化器外科,2,午前(〜12時),初診,8
一般消化器外科,2,午後前半(12-15時),再診,39
一般消化器外科,2,午後前半(12-15時),初診,4
一般消化器外科,2,午後後半(15-17時),再診,3
一般消化器外科,2,夕方以降(17時〜),再診,4
一般消化器外科,3,午前(〜12時),再診,279
一般消化器外科,3,午前(〜12時),初診,23
一般消化器外科,3,午後前半(12-15時),再診,63
一般消化器外科,3,午後前半(12-15時),初診,3
一般消化器外科,3,午後後半(15-17時),再診,8
一般消化器外科,3,夕方以降(17時〜),再診,1
一般消化器外科,3,夕方以降(17時〜),初診,2
一般消化器外科,4,午前(〜12時),再診,89
一般消化器外科,4,午前(〜12時),初診,13
一般消化器外科,4,午後前半(12-15時),再診,7
一般消化器外科,4,午後前半(12-15時),初診,2
一般消化器外科,4,午後後半(15-17時),再診,1
一般消化器外科,4,夕方以降(17時〜),再診,1
一般消化器外科,4,夕方以降(17時〜),初診,1
一般消化器外科,5,午前(〜12時),初診,1
一般消化器外科,5,午後前半(12-15時),再診,2
一般消化器外科,5,夕方以降(17時〜),初診,4
一般消化器外科,6,午前(〜12時),再診,2
一般消化器外科,6,午前(〜12時),初診,1
一般消化器外科,6,夕方以降(17時〜),初診,1
中央処置室,0,午前(〜12時),再診,26
中央処置室,0,午後前半(12-15時),再診,5
