診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,1,2
PICCCVポートセンター,保留,枠なし予約,2,1
PICCCVポートセンター,未来院,枠なし予約,3,1
PICCCVポートセンター,病院到着,枠なし予約,4,1
PICCCVポートセンター,終了,枠なし予約,0,6
PICCCVポートセンター,終了,枠なし予約,1,15
PICCCVポートセンター,終了,枠なし予約,2,11
PICCCVポートセンター,終了,枠なし予約,3,6
PICCCVポートセンター,終了,枠なし予約,4,13
がんゲノム,未来院,枠あり予約,0,1
がんゲノム,終了,枠あり予約,0,4
がんゲノム,終了,枠あり予約,1,6
アレルギー科,保留,枠あり予約,0,1
アレルギー科,未来院,枠あり予約,0,1
アレルギー科,未来院,枠あり予約,1,3
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,3,3
アレルギー科,終了,枠あり予約,0,18
アレルギー科,終了,枠あり予約,1,47
アレルギー科,終了,枠あり予約,2,26
アレルギー科,終了,枠あり予約,3,37
アレルギー科,終了,枠なし予約,1,2
アレルギー科,終了,枠なし予約,2,1
アレルギー科,終了,枠なし予約,3,8
ソーシャルワーカー,保留,枠あり予約,1,1
ソーシャルワーカー,保留,枠あり予約,2,1
ソーシャルワーカー,未来院,枠あり予約,0,3
ソーシャルワーカー,未来院,枠あり予約,1,5
ソーシャルワーカー,未来院,枠あり予約,2,3
ソーシャルワーカー,未来院,枠あり予約,3,3
ソーシャルワーカー,未来院,枠あり予約,4,7
ソーシャルワーカー,未来院,枠なし予約,0,1
ソーシャルワーカー,未来院,枠なし予約,1,2
ソーシャルワーカー,未来院,枠なし予約,2,4
ソーシャルワーカー,未来院,枠なし予約,4,3
ソーシャルワーカー,病院到着,枠あり予約,0,1
ソーシャルワーカー,病院到着,枠あり予約,2,1
ソーシャルワーカー,病院到着,枠あり予約,3,1
ソーシャルワーカー,病院到着,枠あり予約,4,1
ソーシャルワーカー,病院到着,枠なし予約,1,1
ソーシャルワーカー,病院到着,枠なし予約,2,2
ソーシャルワーカー,病院到着,枠なし予約,3,2
ソーシャルワーカー,病院到着,枠なし予約,4,1
ソーシャルワーカー,終了,枠あり予約,0,13
ソーシャルワーカー,終了,枠あり予約,1,18
ソーシャルワーカー,終了,枠あり予約,2,18
ソーシャルワーカー,終了,枠あり予約,3,12
ソーシャルワーカー,終了,枠あり予約,4,16
ソーシャルワーカー,終了,枠なし予約,1,1
ソーシャルワーカー,終了,枠なし予約,2,1
ソーシャルワーカー,終了,枠なし予約,3,3
ソーシャルワーカー,終了,枠なし予約,4,4
メンタルケア科,6,枠あり予約,1,1
メンタルケア科,6,枠あり予約,2,2
メンタルケア科,未来院,枠あり予約,0,4
メンタルケア科,未来院,枠あり予約,1,5
メンタルケア科,未来院,枠あり予約,2,8
メンタルケア科,未来院,枠あり予約,4,3
メンタルケア科,未来院,枠なし予約,0,5
メンタルケア科,未来院,枠なし予約,1,1
メンタルケア科,未来院,枠なし予約,2,5
メンタルケア科,未来院,枠なし予約,3,3
メンタルケア科,病院到着,枠あり予約,3,1
メンタルケア科,病院到着,枠あり予約,4,1
メンタルケア科,病院到着,枠なし予約,0,3
メンタルケア科,病院到着,枠なし予約,4,1
メンタルケア科,終了,枠あり予約,0,54
メンタルケア科,終了,枠あり予約,1,35
