診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,7
PICCCVポートセンター,0,午後前半(12-15時),再診,2
PICCCVポートセンター,1,午前(〜12時),再診,8
PICCCVポートセンター,1,午後前半(12-15時),再診,1
PICCCVポートセンター,2,午前(〜12時),再診,12
PICCCVポートセンター,3,午前(〜12時),再診,11
PICCCVポートセンター,3,午後前半(12-15時),再診,1
PICCCVポートセンター,4,午前(〜12時),再診,13
PICCCVポートセンター,4,午後前半(12-15時),再診,1
PICCCVポートセンター,4,夕方以降(17時〜),再診,1
がんゲノム,0,午後前半(12-15時),再診,5
がんゲノム,1,午前(〜12時),再診,2
がんゲノム,1,午後前半(12-15時),再診,7
アレルギー科,0,午前(〜12時),再診,30
アレルギー科,0,午前(〜12時),初診,1
アレルギー科,1,午前(〜12時),再診,41
アレルギー科,2,午前(〜12時),再診,26
アレルギー科,3,午前(〜12時),再診,30
ソーシャルワーカー,0,午前(〜12時),再診,9
ソーシャルワーカー,0,午後前半(12-15時),再診,4
ソーシャルワーカー,0,午後後半(15-17時),再診,1
ソーシャルワーカー,0,夕方以降(17時〜),再診,2
ソーシャルワーカー,1,午前(〜12時),再診,11
ソーシャルワーカー,1,午後前半(12-15時),再診,9
ソーシャルワーカー,1,午後後半(15-17時),再診,5
ソーシャルワーカー,1,夕方以降(17時〜),再診,3
ソーシャルワーカー,2,午前(〜12時),再診,15
ソーシャルワーカー,2,午後前半(12-15時),再診,10
ソーシャルワーカー,2,夕方以降(17時〜),再診,1
ソーシャルワーカー,3,午前(〜12時),再診,15
ソーシャルワーカー,3,午後前半(12-15時),再診,6
ソーシャルワーカー,3,午後後半(15-17時),再診,2
ソーシャルワーカー,3,夕方以降(17時〜),再診,2
ソーシャルワーカー,4,午前(〜12時),再診,16
ソーシャルワーカー,4,午後前半(12-15時),再診,6
ソーシャルワーカー,4,午後後半(15-17時),再診,3
ソーシャルワーカー,4,夕方以降(17時〜),再診,8
メンタルケア科,0,午前(〜12時),再診,89
メンタルケア科,0,午後前半(12-15時),再診,7
メンタルケア科,1,午前(〜12時),再診,19
メンタルケア科,1,午後前半(12-15時),再診,36
メンタルケア科,1,午後後半(15-17時),再診,13
メンタルケア科,1,夕方以降(17時〜),再診,2
メンタルケア科,2,午前(〜12時),再診,93
メンタルケア科,2,午後前半(12-15時),再診,48
メンタルケア科,2,午後後半(15-17時),再診,2
メンタルケア科,2,夕方以降(17時〜),再診,2
メンタルケア科,3,午前(〜12時),再診,17
メンタルケア科,3,午後前半(12-15時),再診,3
メンタルケア科,3,午後後半(15-17時),再診,5
メンタルケア科,4,午前(〜12時),再診,19
メンタルケア科,4,午後前半(12-15時),再診,6
メンタルケア科,4,午後後半(15-17時),再診,3
メンタルケア科,4,夕方以降(17時〜),再診,2
メンタルケア科,5,午前(〜12時),再診,1
リウマチ膠原病内科,0,午前(〜12時),再診,115
リウマチ膠原病内科,0,午前(〜12時),初診,3
リウマチ膠原病内科,0,午後前半(12-15時),再診,18
リウマチ膠原病内科,1,午前(〜12時),再診,168
リウマチ膠原病内科,1,午前(〜12時),初診,7
リウマチ膠原病内科,1,午後前半(12-15時),再診,10
リウマチ膠原病内科,2,午前(〜12時),再診,145
リウマチ膠原病内科,2,午前(〜12時),初診,1
リウマチ膠原病内科,2,午後前半(12-15時),再診,53
リウマチ膠原病内科,2,午後前半(12-15時),初診,7
リウマチ膠原病内科,2,午後後半(15-17時),再診,3
リウマチ膠原病内科,3,午前(〜12時),再診,131
リウマチ膠原病内科,3,午前(〜12時),初診,7
リウマチ膠原病内科,3,午後前半(12-15時),再診,44
リウマチ膠原病内科,3,午後後半(15-17時),再診,1
リウマチ膠原病内科,3,夕方以降(17時〜),再診,1
リウマチ膠原病内科,4,午前(〜12時),再診,169
リウマチ膠原病内科,4,午前(〜12時),初診,10
リウマチ膠原病内科,4,午後前半(12-15時),再診,58
リウマチ膠原病内科,4,午後後半(15-17時),再診,8
リウマチ膠原病内科,4,夕方以降(17時〜),再診,2
一般消化器外科,0,午前(〜12時),再診,99
一般消化器外科,0,午前(〜12時),初診,4
一般消化器外科,0,午後前半(12-15時),再診,31
一般消化器外科,0,午後前半(12-15時),初診,3
一般消化器外科,0,午後後半(15-17時),再診,6
一般消化器外科,0,夕方以降(17時〜),再診,2
一般消化器外科,0,夕方以降(17時〜),初診,1
一般消化器外科,1,午前(〜12時),再診,182
一般消化器外科,1,午前(〜12時),初診,4
一般消化器外科,1,午後前半(12-15時),再診,17
一般消化器外科,1,午後後半(15-17時),再診,3
一般消化器外科,1,午後後半(15-17時),初診,1
一般消化器外科,1,夕方以降(17時〜),再診,1
一般消化器外科,1,夕方以降(17時〜),初診,1
一般消化器外科,2,午前(〜12時),再診,185
一般消化器外科,2,午前(〜12時),初診,9
一般消化器外科,2,午後前半(12-15時),再診,34
一般消化器外科,2,午後前半(12-15時),初診,5
一般消化器外科,2,午後後半(15-17時),再診,3
一般消化器外科,2,夕方以降(17時〜),再診,3
一般消化器外科,3,午前(〜12時),再診,255
一般消化器外科,3,午前(〜12時),初診,13
一般消化器外科,3,午後前半(12-15時),再診,48
一般消化器外科,3,午後前半(12-15時),初診,2
一般消化器外科,3,午後後半(15-17時),再診,9
一般消化器外科,3,夕方以降(17時〜),再診,1
一般消化器外科,3,夕方以降(17時〜),初診,1
一般消化器外科,4,午前(〜12時),再診,82
一般消化器外科,4,午前(〜12時),初診,9
一般消化器外科,4,午後前半(12-15時),再診,4
一般消化器外科,4,午後後半(15-17時),初診,1
一般消化器外科,4,夕方以降(17時〜),再診,1
一般消化器外科,4,夕方以降(17時〜),初診,3
一般消化器外科,6,午後前半(12-15時),再診,1
