診療科名,予約担当者匿名ID,曜日,初再診区分,紹介状有無,件数
PICCCVポートセンター,DR_XX009,0,再診,紹介状無し,9
PICCCVポートセンター,DR_XX009,1,再診,紹介状無し,9
PICCCVポートセンター,DR_XX009,2,再診,紹介状無し,12
PICCCVポートセンター,DR_XX009,3,再診,紹介状無し,12
PICCCVポートセンター,DR_XX009,4,再診,紹介状無し,15
がんゲノム,DR_ON001,0,再診,紹介状無し,5
がんゲノム,DR_ON001,1,再診,紹介状無し,9
アレルギー科,DR_AL001,2,再診,紹介状無し,26
アレルギー科,DR_AL002,3,再診,紹介状無し,30
アレルギー科,DR_AL003,1,再診,紹介状無し,1
アレルギー科,DR_RS2003,1,再診,紹介状無し,40
アレルギー科,DR_RS2005,0,再診,紹介状無し,30
アレルギー科,DR_RS2005,0,初診,紹介状あり,1
ソーシャルワーカー,DR_XX001,0,再診,紹介状無し,16
ソーシャルワーカー,DR_XX001,1,再診,紹介状無し,28
ソーシャルワーカー,DR_XX001,2,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,3,再診,紹介状無し,25
ソーシャルワーカー,DR_XX001,4,再診,紹介状無し,33
ソーシャルワーカー,DR_XX031,2,再診,紹介状無し,1
メンタルケア科,DR_MN001,0,再診,紹介状無し,6
メンタルケア科,DR_MN001,2,再診,紹介状無し,109
メンタルケア科,DR_MN002,0,再診,紹介状無し,17
メンタルケア科,DR_MN002,1,再診,紹介状無し,20
メンタルケア科,DR_MN002,2,再診,紹介状無し,25
メンタルケア科,DR_MN002,3,再診,紹介状無し,18
メンタルケア科,DR_MN002,4,再診,紹介状無し,21
メンタルケア科,DR_MN004,0,再診,紹介状無し,73
メンタルケア科,DR_MN004,3,再診,紹介状無し,4
メンタルケア科,DR_MN005,1,再診,紹介状無し,1
メンタルケア科,DR_MN005,2,再診,紹介状無し,10
メンタルケア科,DR_MN005,3,再診,紹介状無し,1
メンタルケア科,DR_MN007,3,再診,紹介状無し,2
メンタルケア科,DR_MN008,2,再診,紹介状無し,1
メンタルケア科,DR_MN008,4,再診,紹介状無し,1
メンタルケア科,DR_MN009,1,再診,紹介状無し,49
メンタルケア科,DR_MN009,4,再診,紹介状無し,7
メンタルケア科,DR_MN011,4,再診,紹介状無し,1
メンタルケア科,DR_MN012,5,再診,紹介状無し,1
リウマチ膠原病内科,DR_RH001,2,再診,紹介状無し,37
リウマチ膠原病内科,DR_RH002,2,再診,紹介状無し,44
リウマチ膠原病内科,DR_RH002,2,初診,紹介状あり,7
リウマチ膠原病内科,DR_RH003,1,再診,紹介状無し,80
リウマチ膠原病内科,DR_RH003,1,初診,紹介状あり,7
リウマチ膠原病内科,DR_RH003,4,再診,紹介状無し,55
リウマチ膠原病内科,DR_RH004,0,再診,紹介状無し,55
リウマチ膠原病内科,DR_RH004,3,再診,紹介状無し,38
リウマチ膠原病内科,DR_RH005,0,再診,紹介状無し,6
リウマチ膠原病内科,DR_RH005,1,再診,紹介状無し,10
リウマチ膠原病内科,DR_RH005,2,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH005,2,初診,紹介状あり,1
リウマチ膠原病内科,DR_RH005,3,再診,紹介状無し,4
リウマチ膠原病内科,DR_RH005,4,再診,紹介状無し,5
リウマチ膠原病内科,DR_RH006,0,再診,紹介状無し,46
リウマチ膠原病内科,DR_RH006,0,初診,紹介状あり,2
リウマチ膠原病内科,DR_RH006,0,初診,紹介状無し,1
リウマチ膠原病内科,DR_RH006,3,再診,紹介状無し,60
リウマチ膠原病内科,DR_RH006,4,再診,紹介状無し,69
リウマチ膠原病内科,DR_RH007,0,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH007,1,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH007,2,再診,紹介状無し,8
リウマチ膠原病内科,DR_RH007,3,再診,紹介状無し,5
リウマチ膠原病内科,DR_RH007,4,再診,紹介状無し,15
リウマチ膠原病内科,DR_RH008,3,再診,紹介状無し,7
リウマチ膠原病内科,DR_RH009,2,再診,紹介状無し,68
リウマチ膠原病内科,DR_RH009,3,再診,紹介状無し,62
リウマチ膠原病内科,DR_RH009,3,初診,紹介状あり,7
リウマチ膠原病内科,DR_RH009,4,再診,紹介状無し,84
リウマチ膠原病内科,DR_RH009,4,初診,紹介状あり,10
リウマチ膠原病内科,DR_RH010,1,再診,紹介状無し,81
リウマチ膠原病内科,DR_RH010,2,再診,紹介状無し,37
リウマチ膠原病内科,DR_RH011,0,再診,紹介状無し,9
リウマチ膠原病内科,DR_RH011,4,再診,紹介状無し,8
