診療科名,診療受付区分,予約フラグ,曜日,件数
PICCCVポートセンター,保留,枠なし予約,0,1
PICCCVポートセンター,保留,枠なし予約,3,1
PICCCVポートセンター,未来院,枠なし予約,1,2
PICCCVポートセンター,未来院,枠なし予約,2,2
PICCCVポートセンター,未来院,枠なし予約,3,1
PICCCVポートセンター,未来院,枠なし予約,4,2
PICCCVポートセンター,病院到着,枠なし予約,0,1
PICCCVポートセンター,病院到着,枠なし予約,1,1
PICCCVポートセンター,病院到着,枠なし予約,2,1
PICCCVポートセンター,病院到着,枠なし予約,3,1
PICCCVポートセンター,病院到着,枠なし予約,4,2
PICCCVポートセンター,終了,枠なし予約,0,7
PICCCVポートセンター,終了,枠なし予約,1,6
PICCCVポートセンター,終了,枠なし予約,2,9
PICCCVポートセンター,終了,枠なし予約,3,9
PICCCVポートセンター,終了,枠なし予約,4,11
がんゲノム,終了,枠あり予約,0,5
がんゲノム,終了,枠あり予約,1,9
アレルギー科,保留,枠あり予約,2,1
アレルギー科,未来院,枠あり予約,0,1
アレルギー科,未来院,枠あり予約,1,3
アレルギー科,未来院,枠あり予約,2,1
アレルギー科,未来院,枠なし予約,3,1
アレルギー科,病院到着,枠なし予約,1,1
アレルギー科,終了,枠あり予約,0,29
アレルギー科,終了,枠あり予約,1,37
アレルギー科,終了,枠あり予約,2,23
アレルギー科,終了,枠あり予約,3,28
アレルギー科,終了,枠なし予約,0,1
アレルギー科,終了,枠なし予約,2,1
アレルギー科,終了,枠なし予約,3,1
ソーシャルワーカー,保留,枠あり予約,0,1
ソーシャルワーカー,未来院,枠あり予約,0,2
ソーシャルワーカー,未来院,枠あり予約,1,1
ソーシャルワーカー,未来院,枠あり予約,2,8
ソーシャルワーカー,未来院,枠あり予約,3,1
ソーシャルワーカー,未来院,枠あり予約,4,4
ソーシャルワーカー,未来院,枠なし予約,1,2
ソーシャルワーカー,未来院,枠なし予約,2,1
ソーシャルワーカー,未来院,枠なし予約,3,5
ソーシャルワーカー,未来院,枠なし予約,4,1
ソーシャルワーカー,病院到着,枠あり予約,1,2
ソーシャルワーカー,病院到着,枠あり予約,3,2
ソーシャルワーカー,病院到着,枠なし予約,2,1
ソーシャルワーカー,病院到着,枠なし予約,3,3
ソーシャルワーカー,病院到着,枠なし予約,4,1
ソーシャルワーカー,終了,枠あり予約,0,10
ソーシャルワーカー,終了,枠あり予約,1,20
ソーシャルワーカー,終了,枠あり予約,2,15
ソーシャルワーカー,終了,枠あり予約,3,12
ソーシャルワーカー,終了,枠あり予約,4,23
ソーシャルワーカー,終了,枠なし予約,0,3
ソーシャルワーカー,終了,枠なし予約,1,3
ソーシャルワーカー,終了,枠なし予約,2,1
ソーシャルワーカー,終了,枠なし予約,3,2
ソーシャルワーカー,終了,枠なし予約,4,4
メンタルケア科,6,枠あり予約,4,1
メンタルケア科,未来院,枠あり予約,0,5
メンタルケア科,未来院,枠あり予約,1,1
メンタルケア科,未来院,枠あり予約,2,4
メンタルケア科,未来院,枠あり予約,3,1
メンタルケア科,未来院,枠なし予約,0,1
メンタルケア科,未来院,枠なし予約,2,1
メンタルケア科,未来院,枠なし予約,3,1
メンタルケア科,病院到着,枠あり予約,0,1
メンタルケア科,病院到着,枠あり予約,4,1
メンタルケア科,病院到着,枠なし予約,1,1
メンタルケア科,病院到着,枠なし予約,3,1
メンタルケア科,病院到着,枠なし予約,4,4
メンタルケア科,病院到着,枠なし予約,5,1
メンタルケア科,終了,枠あり予約,0,67
メンタルケア科,終了,枠あり予約,1,49
メンタルケア科,終了,枠あり予約,2,114
メンタルケア科,終了,枠あり予約,3,4
メンタルケア科,終了,枠あり予約,4,6
メンタルケア科,終了,枠なし予約,0,22
メンタルケア科,終了,枠なし予約,1,19
メンタルケア科,終了,枠なし予約,2,25
メンタルケア科,終了,枠なし予約,3,18
メンタルケア科,終了,枠なし予約,4,18
メンタルケア科,診察中,枠なし予約,2,1
リウマチ膠原病内科,未来院,枠あり予約,0,5
リウマチ膠原病内科,未来院,枠あり予約,1,4
リウマチ膠原病内科,未来院,枠あり予約,2,8
