診療科名,曜日,時間帯ゾーン,初再診区分,件数
PICCCVポートセンター,0,午前(〜12時),再診,6
PICCCVポートセンター,0,午後前半(12-15時),再診,3
PICCCVポートセンター,0,午後後半(15-17時),再診,1
PICCCVポートセンター,1,午前(〜12時),再診,12
PICCCVポートセンター,1,午後前半(12-15時),再診,1
PICCCVポートセンター,1,午後後半(15-17時),再診,1
PICCCVポートセンター,2,午前(〜12時),再診,5
PICCCVポートセンター,2,午後前半(12-15時),再診,1
PICCCVポートセンター,3,午前(〜12時),再診,12
PICCCVポートセンター,4,午前(〜12時),再診,7
がんゲノム,0,午前(〜12時),再診,2
がんゲノム,0,午後前半(12-15時),再診,4
がんゲノム,0,午後後半(15-17時),再診,1
がんゲノム,1,午前(〜12時),再診,1
がんゲノム,1,午後前半(12-15時),再診,7
アレルギー科,0,午前(〜12時),再診,38
アレルギー科,1,午前(〜12時),再診,51
アレルギー科,2,午前(〜12時),再診,34
アレルギー科,3,午前(〜12時),再診,52
アレルギー科,3,午前(〜12時),初診,2
ソーシャルワーカー,0,午前(〜12時),再診,18
ソーシャルワーカー,0,午後前半(12-15時),再診,5
ソーシャルワーカー,0,午後後半(15-17時),再診,1
ソーシャルワーカー,0,夕方以降(17時〜),再診,3
ソーシャルワーカー,1,午前(〜12時),再診,15
ソーシャルワーカー,1,午後前半(12-15時),再診,7
ソーシャルワーカー,1,午後後半(15-17時),再診,4
ソーシャルワーカー,1,夕方以降(17時〜),再診,4
ソーシャルワーカー,2,午前(〜12時),再診,12
ソーシャルワーカー,2,午後前半(12-15時),再診,9
ソーシャルワーカー,2,午後後半(15-17時),再診,2
ソーシャルワーカー,2,夕方以降(17時〜),再診,2
ソーシャルワーカー,3,午前(〜12時),再診,15
ソーシャルワーカー,3,午後前半(12-15時),再診,3
ソーシャルワーカー,3,夕方以降(17時〜),再診,1
ソーシャルワーカー,4,午前(〜12時),再診,16
ソーシャルワーカー,4,午後前半(12-15時),再診,5
ソーシャルワーカー,4,午後後半(15-17時),再診,3
ソーシャルワーカー,4,夕方以降(17時〜),再診,3
メンタルケア科,0,午前(〜12時),再診,102
メンタルケア科,0,午後前半(12-15時),再診,10
メンタルケア科,1,午前(〜12時),再診,15
メンタルケア科,1,午後前半(12-15時),再診,32
メンタルケア科,1,午後後半(15-17時),再診,9
メンタルケア科,1,夕方以降(17時〜),再診,2
メンタルケア科,2,午前(〜12時),再診,94
メンタルケア科,2,午後前半(12-15時),再診,44
メンタルケア科,2,午後後半(15-17時),再診,4
